"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.701338511E0,8.666395396E-2,3.901786730E-2,-7.941014320E-2
1.721447521E0,-5.161659420E-2,7.253811229E-3,-6.505523622E-2
1.741556531E0,-1.588202864E-1,-3.153498843E-2,-3.665083647E-2
1.761665542E0,-1.771457046E-1,-2.603736520E-2,-1.313321572E-2
1.781774500E0,-1.412584335E-1,2.435753495E-2,-2.580829710E-2
1.801883511E0,-7.345438004E-2,6.925480813E-2,-3.344388679E-2
1.821992521E0,-5.940489471E-2,1.144575030E-1,-2.596100792E-2
1.842101531E0,-1.232384369E-1,1.579803675E-1,-2.779355086E-2
1.862210542E0,-2.223484069E-1,1.668376625E-1,-2.489202656E-2
1.882319552E0,-2.200577259E-1,1.381278336E-1,-1.618745178E-2
1.902428511E0,-9.498675168E-2,1.210241169E-1,-5.283828825E-2
1.922537521E0,6.872031838E-3,1.352263093E-1,-1.423274130E-1
1.942646531E0,1.557660475E-2,7.612683624E-2,-1.841704547E-1
1.962755542E0,-9.910997003E-2,3.718532622E-2,-1.163664013E-1
1.982864552E0,-2.434226274E-1,5.138752609E-2,-1.374406368E-2
2.002973563E0,-3.148917556E-1,-5.810684711E-2,1.985253533E-3
2.023082521E0,-2.527380586E-1,-1.796654463E-1,-1.029277667E-1
2.043191531E0,-8.521319181E-2,-6.390989572E-2,-1.930277348E-1
2.063300542E0,1.039203927E-1,6.620056927E-2,-2.411319613E-1
2.083409552E0,2.201340795E-1,2.160872146E-2,-2.916795611E-1
2.103518563E0,2.358634025E-1,-1.103342846E-1,-2.878617644E-1
2.123627573E0,2.121930718E-1,-1.501920670E-1,-2.107423097E-1
2.143736584E0,1.811925620E-1,-1.413347870E-1,-1.568350345E-1
2.163845594E0,1.482068151E-1,-2.170798481E-1,-1.565296054E-1
2.183954604E0,1.530935913E-1,-2.841203213E-1,-1.771457046E-1
2.204063563E0,1.730988473E-1,-2.355579734E-1,-1.714953631E-1
2.224172573E0,1.500393599E-1,-2.121930718E-1,-1.207950488E-1
2.244281584E0,6.849125028E-2,-2.244100124E-1,-8.307522535E-2
2.264390594E0,-4.260659590E-2,-1.404185146E-1,-5.803048983E-2
