"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434615.266,"2025-08-17 18:13:35.266 UTC+05:30"
"PAUSE",1.421353494E1,1755434629.480,"2025-08-17 18:13:49.480 UTC+05:30"
