"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433657.653,"2025-08-17 17:57:37.653 UTC+05:30"
"PAUSE",3.413478165E1,1755433691.788,"2025-08-17 17:58:11.788 UTC+05:30"
