"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.927209800E-2,-2.605050087E0,5.698050499E0,8.599950790E0
5.927209900E-2,-2.193000078E0,5.455950260E0,9.907050133E0
8.005165700E-2,-2.041949987E0,5.466000080E0,1.022805023E1
1.008304880E-1,-2.136000156E0,6.105000496E0,1.007505035E1
1.216111380E-1,-2.169000149E0,6.531000137E0,9.699000359E0
1.423920270E-1,-1.642050028E0,6.808950424E0,9.955050468E0
1.631730010E-1,-1.401000023E0,6.772950172E0,1.059705067E1
1.839539640E-1,-1.207050085E0,6.526050091E0,1.080000019E1
2.047354850E-1,-1.674000025E0,6.828000546E0,1.073595047E1
2.255169880E-1,-1.851000071E0,7.213950157E0,1.059000015E1
2.463050030E-1,-1.350000024E0,6.486000538E0,1.004895020E1
2.670930020E-1,-1.044000030E0,5.727000237E0,9.292050362E0
2.878743960E-1,-1.111050010E0,5.320050240E0,8.550000191E0
3.086557850E-1,-1.516050100E0,5.242950439E0,8.071050644E0
3.294421380E-1,-1.578000069E0,4.672950268E0,7.750050545E0
3.502284830E-1,-1.567950130E0,4.455000401E0,7.494000435E0
3.710069440E-1,-1.360050082E0,4.276050091E0,7.816950321E0
3.917854110E-1,-1.147050023E0,4.225049973E0,7.911000252E0
4.125637390E-1,-8.040000200E-1,4.213950157E0,7.498950481E0
4.333420460E-1,-6.750000119E-1,4.240050316E0,6.916950226E0
4.541214240E-1,-7.470000386E-1,4.165950298E0,6.618000507E0
4.749008090E-1,-6.220500469E-1,3.985950232E0,6.325950146E0
4.956741890E-1,-4.480500221E-1,4.134000301E0,6.033000469E0
5.164475780E-1,-2.389500141E-1,4.252050400E0,5.823000431E0
5.372250740E-1,-6.660000086E-1,4.567950249E0,5.959050179E0
5.580025730E-1,-1.080000043E0,4.788000107E0,6.442950249E0
5.787797930E-1,-7.540500164E-1,4.579950333E0,7.101000309E0
5.995570260E-1,-9.169500470E-1,4.402950287E0,8.236050606E0
6.203322350E-1,-1.504050016E0,4.522050381E0,8.740950584E0
6.411074680E-1,-1.860000134E0,4.542000294E0,9.790050507E0
6.618837760E-1,-1.771950126E0,4.285050392E0,1.030995083E1
6.826600830E-1,-1.441050053E0,3.921000242E0,1.132200050E1
7.034364050E-1,-1.360050082E0,3.265050173E0,1.184205055E1
7.242127140E-1,-1.518000126E0,2.628000021E0,1.178895092E1
7.449959080E-1,-1.558950067E0,2.539950132E0,1.183995056E1
7.657791370E-1,-1.398000121E0,2.242950201E0,1.214595032E1
7.865549580E-1,-1.353000045E0,1.659000039E0,1.223205090E1
8.073308110E-1,-9.979500771E-1,1.234950066E0,1.167705059E1
8.281134490E-1,-9.409500360E-1,1.537050128E0,1.137795067E1
8.488960980E-1,-1.950000064E-3,1.345050097E0,1.024995041E1
8.696716320E-1,-4.789500237E-1,1.501050115E0,9.064949989E0
8.904471750E-1,-1.180050015E0,1.933950067E0,9.055050850E0
9.112266950E-1,-2.173950195E0,3.399000168E0,8.916000366E0
9.320061940E-1,-1.432050109E0,3.238950253E0,9.120000839E0
9.527875970E-1,-1.426950097E0,2.278950214E0,7.326000214E0
9.735690220E-1,-9.739500284E-1,4.230000079E-1,7.438950539E0
9.943437380E-1,-7.639500499E-1,-9.300000221E-2,7.542000294E0
1.015118473E0,-2.128050089E0,4.740000367E-1,7.762050152E0
1.035894511E0,-3.675000191E0,3.010500073E-1,8.338950157E0
1.056670550E0,-3.421050072E0,6.900000572E-2,9.036000252E0
1.077446564E0,-1.033950090E0,-6.120000482E-1,8.956950188E0
1.098222565E0,1.090950012E0,-2.050950050E0,9.583950043E0
1.118994872E0,3.319500089E-1,-1.788000107E0,9.654000282E0
1.139767181E0,-3.646050215E0,1.036050081E0,1.110195065E1
1.160550232E0,-4.674000263E0,2.122950077E0,1.014900017E1
1.181333267E0,-2.713050127E0,2.800500095E-1,1.121700096E1
1.202107889E0,-2.563950062E0,4.780500233E-1,1.213395023E1
1.222882512E0,-3.049950123E0,7.849500179E-1,1.216305065E1
1.243659001E0,-2.536050081E0,9.840000272E-1,1.110495090E1
1.264435498E0,-2.974050045E0,1.009950042E0,1.061100006E1
1.285216745E0,-2.413050175E0,9.450000525E-1,1.059000015E1
1.305997974E0,-2.148000002E0,1.278000116E0,1.012995052E1
1.326777356E0,-2.779950142E0,1.828950047E0,9.424050331E0
1.347556743E0,-2.578950167E0,8.260500431E-1,9.622950554E0
1.368336719E0,-2.485050201E0,5.449500084E-1,1.212000084E1
1.389116680E0,-2.907000065E0,3.130500019E-1,1.302705097E1
1.409897660E0,-3.361950159E0,4.620000124E-1,1.225095081E1
1.430678623E0,-3.274950266E0,7.939500213E-1,1.105200100E1
1.451455391E0,-2.524050236E0,1.125000000E0,9.828000069E0
1.472232166E0,-1.947000146E0,1.387950063E0,9.045000076E0
1.493004711E0,-1.594950080E0,1.576950073E0,9.193950653E0
1.513777290E0,-1.132050037E0,1.597050071E0,9.180000305E0
1.534552269E0,-6.820500493E-1,1.798050046E0,8.737050056E0
1.555327228E0,-1.560000032E-1,1.987050056E0,8.381999969E0
1.576104783E0,1.050000079E-3,1.968000054E0,8.203050613E0
1.596882324E0,-2.029500157E-1,2.085000038E0,8.037000656E0
1.617654945E0,-4.240500331E-1,2.176050186E0,7.401000500E0
1.638427564E0,-6.780000329E-1,2.377050161E0,7.096950531E0
1.659207982E0,-1.044000030E0,2.566050053E0,7.165950298E0
1.679988401E0,-1.374000072E0,2.848950148E0,7.401000500E0
1.700766402E0,-1.269000053E0,2.944950104E0,8.272050858E0
1.721544405E0,-1.120050073E0,2.904000044E0,9.096000671E0
1.742327489E0,-4.669500291E-1,2.911050081E0,9.196050644E0
1.763110564E0,-3.730500042E-1,3.124050140E0,9.661050797E0
1.783892759E0,-2.059500068E-1,2.596950054E0,1.011105061E1
1.804674954E0,-4.549500346E-1,2.068050146E0,1.042200089E1
1.825455867E0,-6.610500216E-1,1.728000045E0,1.057305050E1
1.846236790E0,-4.189500213E-1,1.687950134E0,1.052505016E1
1.867013230E0,3.439500034E-1,1.615950108E0,1.041495037E1
1.887789655E0,1.153050065E0,1.575000048E0,1.066395092E1
1.908571054E0,1.881000042E0,1.549050093E0,1.101105022E1
