"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433890.432,"2025-08-17 18:01:30.432 UTC+05:30"
"PAUSE",2.321711603E1,1755433913.649,"2025-08-17 18:01:53.649 UTC+05:30"
