"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434762.058,"2025-08-17 18:16:02.058 UTC+05:30"
"PAUSE",2.507147223E1,1755434787.129,"2025-08-17 18:16:27.129 UTC+05:30"
