"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.693208353E-3,-2.203268280E0,3.122357025E0,6.698719940E0
2.158720838E-2,-2.114053802E0,3.200943604E0,6.630761261E0
4.148120835E-2,-1.753303986E0,3.036286011E0,6.920408936E0
6.137520837E-2,-1.528920593E0,2.404449921E0,7.425907745E0
8.126920834E-2,-1.476978607E0,2.140997772E0,7.759264526E0
1.011632084E-1,-1.633553009E0,2.467019806E0,7.692952423E0
1.210572083E-1,-1.484313354E0,2.505340118E0,7.107070770E0
1.409512084E-1,-1.767973480E0,2.051932983E0,5.929619293E0
1.608452083E-1,-1.253044281E0,2.349214783E0,5.831273804E0
1.807392084E-1,-8.729846191E-1,2.517464905E0,5.151537323E0
2.006332083E-1,-4.291575623E-1,2.450853424E0,5.100493469E0
2.205282084E-1,-4.810995483E-1,2.676733704E0,5.795348511E0
2.404222083E-1,-8.942404175E-1,3.120111694E0,6.854695587E0
2.603162084E-1,-8.761280823E-1,2.698737946E0,8.376730499E0
2.802102084E-1,-5.080435181E-1,2.767145691E0,8.520731049E0
3.001040834E-1,-4.869374084E-1,2.107018433E0,1.073238190E1
3.199980833E-1,-2.493814087E-1,1.797611847E0,1.392928391E1
3.398920834E-1,6.538403320E-1,3.149450684E0,1.542003387E1
3.597860833E-1,7.340734863E-1,2.939437408E0,1.545027100E1
3.796800834E-1,1.213077393E0,4.849016418E0,1.328502365E1
3.995740833E-1,1.429527283E-1,3.645818481E0,1.631547180E1
4.194680834E-1,-2.445314941E0,1.752854919E0,1.929831894E1
4.393630833E-1,-2.748733978E0,1.565744019E0,1.903471710E1
4.592570834E-1,-2.191442871E0,1.758842468E0,1.574261307E1
4.791510833E-1,-4.578977966E-1,2.099234619E0,9.690997467E0
4.990450834E-1,-4.520599365E-2,2.413880310E0,5.823639679E0
5.189390833E-1,-3.805087280E-1,2.719245300E0,4.323908386E0
5.388330834E-1,-7.990383911E-1,2.701432343E0,4.820425873E0
5.587270834E-1,-1.105151825E0,3.403771820E0,4.051325226E0
5.786210833E-1,-1.178499298E0,3.919150085E0,4.124073944E0
5.985160834E-1,-1.006806335E0,3.788172455E0,3.815116425E0
6.184100833E-1,-3.189866638E-1,3.517535248E0,3.177741852E0
6.383040834E-1,1.062789917E-1,2.834655304E0,4.029770050E0
6.581980833E-1,3.251239014E-1,2.805765381E0,5.183421021E0
6.780920834E-1,1.302291870E-2,2.171085205E0,6.307733002E0
6.979860833E-1,-5.577401733E-1,2.082469482E0,8.065976715E0
7.178800834E-1,-6.962022400E-1,2.608775024E0,9.961035919E0
7.377740833E-1,-4.351451111E-1,3.687132568E0,1.159428955E1
