"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.746416663E-3,-1.806144104E0,3.367247772E0,1.071471863E1
2.274241665E-2,-1.859283600E0,3.018473053E0,1.032253418E1
4.273941665E-2,-1.774110718E0,3.081641693E0,9.516909485E0
6.273541666E-2,-1.906884613E0,3.563339996E0,8.942703552E0
8.273241666E-2,-1.929786987E0,3.774101715E0,8.528664551E0
1.027284166E-1,-1.912722473E0,3.714525604E0,8.191415863E0
1.227254166E-1,-2.217189331E0,3.459006958E0,7.892786865E0
1.427214167E-1,-2.346670074E0,3.285218353E0,7.998616791E0
1.627184167E-1,-2.241139526E0,3.131637726E0,8.338110809E0
1.827144166E-1,-2.197729797E0,3.297492828E0,8.740174713E0
2.027114166E-1,-2.121089172E0,3.504662018E0,8.819809113E0
2.227074167E-1,-1.993704071E0,3.605552216E0,8.674611053E0
2.427044167E-1,-2.267933807E0,3.421285400E0,8.403973846E0
2.627004166E-1,-2.481389923E0,3.219205627E0,8.398285675E0
2.826974167E-1,-2.394420776E0,3.168610840E0,8.504714355E0
3.026934167E-1,-2.191293182E0,3.401077423E0,8.831335144E0
3.226904167E-1,-2.381248169E0,3.489693146E0,9.110953674E0
3.426864167E-1,-2.513722687E0,3.285517731E0,9.062903595E0
3.626824167E-1,-2.638114014E0,3.068768463E0,8.758586426E0
3.826794167E-1,-2.650388489E0,3.083737335E0,8.842561798E0
4.026754166E-1,-2.592758331E0,3.320095825E0,9.302106171E0
4.226724167E-1,-2.522404633E0,3.364403687E0,9.399104462E0
4.426684167E-1,-2.485880585E0,3.293600922E0,9.200317841E0
4.626654166E-1,-2.487227783E0,3.237018585E0,8.964558105E0
4.826614167E-1,-2.230361938E0,3.336262207E0,9.264833679E0
5.026584167E-1,-2.041305084E0,3.445235596E0,9.571396179E0
5.226544167E-1,-1.893562317E0,3.470233612E0,9.518106995E0
5.426514166E-1,-1.810335388E0,3.295546875E0,9.295220490E0
5.626474167E-1,-1.546134796E0,3.232527924E0,9.198222198E0
5.826444167E-1,-1.436113586E0,3.238964539E0,9.057814178E0
6.026404166E-1,-1.560355225E0,3.104244690E0,8.766070862E0
6.226375000E-1,-1.566043396E0,2.893183594E0,8.967252502E0
6.426335000E-1,-1.817819824E0,2.860252075E0,7.747289429E0
