"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.458929000E-2,6.891329288E-1,4.421338081E0,7.596015453E0
3.469934200E-2,1.237089276E0,4.367499352E0,8.873783112E0
5.480944600E-2,9.936196208E-1,4.331008911E0,9.991230965E0
7.491949800E-2,4.336991012E-1,4.265206337E0,9.884152412E0
9.502960200E-2,2.691925503E-2,4.200600147E0,8.755936623E0
1.151396540E-1,3.846462369E-1,4.074976921E0,8.459226608E0
1.352497580E-1,8.428717852E-1,4.233501434E0,9.330811501E0
1.553598100E-1,6.448656917E-1,4.514657974E0,9.052646637E0
1.754699150E-1,8.021938205E-1,4.484149456E0,8.493922234E0
1.955799670E-1,6.269195080E-1,4.524229527E0,8.301898003E0
2.156900710E-1,3.415754437E-1,4.476373196E0,8.460422516E0
2.358001230E-1,1.866401732E-1,4.303491592E0,8.525029182E0
2.559102270E-1,1.423729509E-1,4.352544308E0,8.654241562E0
2.760202790E-1,3.068794906E-1,4.404588223E0,8.815158844E0
2.961303830E-1,4.336991012E-1,4.365106583E0,9.075976372E0
3.162404350E-1,4.019941986E-1,4.295116425E0,9.396016121E0
3.363505400E-1,4.217349887E-1,4.192823410E0,9.580862045E0
3.564605920E-1,4.043870270E-1,4.175475597E0,9.590433121E0
3.765706960E-1,3.643072546E-1,4.203591347E0,9.297910690E0
3.966807480E-1,3.487538993E-1,4.304687977E0,8.851051331E0
4.167908520E-1,3.990031779E-1,4.464408875E0,8.638688087E0
4.369009040E-1,6.514459848E-1,4.485345840E0,8.695517540E0
4.570110080E-1,7.824530005E-1,4.439882278E0,8.773882866E0
4.771210600E-1,5.383850932E-1,4.432105541E0,8.784051895E0
4.972311130E-1,2.799602449E-1,4.428516388E0,8.684151649E0
5.173412170E-1,3.792623878E-1,4.389633179E0,8.667402267E0
5.374512690E-1,5.850451589E-1,4.375874519E0,8.780462265E0
5.575613730E-1,6.131607890E-1,4.377668858E0,8.893523216E0
5.776714250E-1,4.390829504E-1,4.328616142E0,8.842078209E0
5.977815290E-1,1.794617027E-1,4.331607342E0,8.774480820E0
6.178915810E-1,1.052841991E-1,4.354339123E0,8.780462265E0
6.380016850E-1,1.746760458E-1,4.326821327E0,8.889336586E0
6.581117380E-1,1.698904037E-1,4.304687977E0,9.008378983E0
6.782218420E-1,1.411765367E-1,4.293322086E0,9.069993973E0
6.983318940E-1,2.961117923E-1,4.244269371E0,8.998209953E0
7.184419980E-1,4.301098585E-1,4.223331928E0,8.904889107E0
7.385520500E-1,4.271188378E-1,4.122235298E0,8.828319550E0
7.586621020E-1,2.506481707E-1,4.053441525E0,8.797212601E0
7.787722060E-1,-3.409772366E-2,4.112065792E0,8.761320114E0
7.988822580E-1,-0.000000000E0,4.188635826E0,8.700901031E0
8.189923630E-1,3.409772366E-2,4.236492634E0,8.607581139E0
8.391024150E-1,7.238288224E-2,4.301098824E0,8.676374435E0
8.592125190E-1,8.673982322E-2,4.264009953E0,8.953344345E0
8.793225710E-1,1.812563092E-1,4.135993958E0,9.326025963E0
8.994326230E-1,2.141576260E-1,4.080958843E0,9.526425362E0
9.195427270E-1,1.878365725E-1,4.021736622E0,9.519247055E0
9.396527790E-1,1.495514214E-1,3.982254982E0,9.478569031E0
9.597628830E-1,2.021935135E-1,3.963112593E0,9.443274498E0
9.798729350E-1,2.662015259E-1,3.946960926E0,9.343972206E0
9.999830400E-1,2.997010350E-1,3.972085476E0,9.103493690E0
1.020093092E0,2.476571500E-1,4.031308174E0,8.874979019E0
1.040203144E0,3.038884699E-1,4.048057556E0,8.754739761E0
