"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.719713919E0,9.071081877E-2,1.063637808E-1,3.252761811E-2
1.739823710E0,-1.542389300E-2,-2.519744914E-3,1.015533581E-1
1.759933502E0,-4.260659590E-2,-2.710634656E-2,9.009997360E-3
1.780043294E0,1.099525020E-2,-5.764871091E-2,-1.331647038E-1
1.800153137E0,1.223221645E-1,-1.381278336E-1,-2.806843221E-1
1.820262929E0,1.618745178E-1,-1.947839260E-1,-3.868190348E-1
1.840372721E0,9.223793447E-2,-1.723352820E-1,-3.501681983E-1
1.860482512E0,-3.909422457E-2,-1.022405624E-1,-2.426590770E-1
1.880592356E0,-1.166718230E-1,3.328354061E-1,9.620844387E-3
1.900702148E0,6.933116168E-2,2.706816792E-1,3.651339412E-1
1.920811939E0,3.135173619E-1,-7.750124484E-2,6.943806410E-1
1.940921731E0,4.243861437E-1,-2.711398304E-1,7.044596076E-1
1.961031523E0,4.175141156E-1,-4.207974076E-1,4.083513916E-1
1.981141366E0,3.034383655E-1,-2.625879645E-1,3.802524135E-2
2.001251158E0,9.407047927E-2,3.442887962E-1,-5.757235363E-2
2.021360950E0,-1.108687744E-1,6.443675160E-1,7.330167107E-3
2.041470794E0,-2.733541429E-1,5.892385244E-1,4.031591862E-2
2.061580585E0,-3.700207174E-1,4.853945076E-1,5.726693198E-2
2.081690377E0,-4.312581718E-1,4.015557170E-1,-4.947862774E-2
2.101800169E0,-5.135698318E-1,2.610608339E-1,-2.156290859E-1
2.121910012E0,-5.972558856E-1,1.773747802E-1,-2.620534599E-1
2.142019804E0,-5.934380889E-1,3.841465712E-1,-6.261184346E-3
2.162129596E0,-5.871769190E-1,5.895439386E-1,3.443651497E-1
2.182239387E0,-5.413633585E-1,6.158103943E-1,1.041494608E-1
2.202349231E0,-4.731011987E-1,6.877376437E-1,1.291942000E-1
2.222459023E0,-3.471139669E-1,5.079958439E-1,-3.481829539E-2
2.242568814E0,-1.551551968E-1,6.971294433E-2,-2.739650011E-1
2.262678606E0,-8.506047726E-2,-2.357106805E-1,-2.816005945E-1
2.282788450E0,-1.466033459E-1,-3.096232116E-1,-1.647760421E-1
2.302898241E0,-2.116585821E-1,-2.158581465E-1,-7.223268598E-2
2.323008033E0,-2.131856978E-1,5.421269219E-3,-2.428117767E-2
2.343117825E0,-1.772984117E-1,6.818582863E-2,1.527118147E-3
2.363227669E0,-1.288887709E-1,-1.040730998E-1,3.130592033E-2
2.383337460E0,-3.894151375E-2,-4.282802939E-1,1.133121699E-1
2.403447252E0,1.050657257E-1,-7.561525702E-1,2.215848416E-1
2.423557044E0,1.151447073E-1,-8.612182736E-1,2.921377122E-1
2.443666887E0,3.512371797E-3,-5.872532725E-1,3.651339412E-1
2.463776679E0,-2.518217862E-1,-2.835094929E-1,3.101576865E-1
2.483886471E0,-3.938437700E-1,-5.581616983E-2,1.904316396E-1
2.503996314E0,-3.608580232E-1,5.001311749E-2,1.285833418E-1
2.524106106E0,-2.354816198E-1,-1.168245357E-2,1.154501289E-1
2.544215898E0,-9.987352788E-2,-1.249946207E-1,1.221694499E-1
2.564325689E0,-1.664558798E-2,-2.457896620E-1,1.068982705E-1
2.584435481E0,2.122694254E-2,-2.874799967E-1,5.100574717E-2
2.604545325E0,2.000524849E-2,-2.045574784E-1,2.596100792E-3
2.624655116E0,1.801999472E-2,-9.399411827E-2,-1.252236869E-2
2.644764908E0,1.756185852E-2,-1.702736691E-2,-2.641914412E-2
2.664874752E0,1.863084175E-2,3.031329438E-2,-2.229592577E-2
2.684984544E0,6.077930331E-2,3.581092134E-2,-1.893626526E-2
2.705094335E0,1.378987730E-1,-1.603474026E-3,-2.748812735E-2
2.725204127E0,2.147128135E-1,-6.436803192E-2,-6.948387623E-2
2.745313971E0,3.889569938E-1,1.962346770E-2,-1.493521482E-1
2.765423762E0,3.935383558E-1,2.893888950E-2,-8.887827396E-2
2.785533554E0,3.263451457E-1,-3.894151188E-3,-9.804098308E-2
2.805643346E0,2.857238054E-1,-3.886515647E-2,-1.110214889E-1
2.825753189E0,2.139492482E-1,-5.489989743E-2,-1.012479365E-1
2.845862981E0,1.238492802E-1,-7.505785674E-2,-8.124268800E-2
2.865972773E0,7.498150319E-2,-6.696412712E-2,-8.276980370E-2
2.886082616E0,6.566607952E-2,9.720107168E-2,-9.926267713E-2
2.906192408E0,4.489727318E-2,1.456107199E-1,-1.250709742E-1
2.926302200E0,1.160609815E-2,1.100288630E-1,-1.279724985E-1
2.946411991E0,-1.649287529E-2,7.597412914E-2,-7.971556485E-2
2.966521835E0,-4.566083103E-2,4.848600179E-2,-2.382304333E-2
2.986631627E0,-4.566083103E-2,2.832804248E-2,1.420219894E-2
3.006741419E0,-3.710897267E-2,-6.337540224E-3,1.817270555E-2
3.026851262E0,-3.115320951E-2,-1.870719716E-2,-1.221694518E-3
3.046961054E0,-2.305948362E-2,1.076618303E-2,-2.657185495E-2
3.067070846E0,-9.773556143E-3,3.764346242E-2,-3.512371704E-2
3.087180637E0,-3.817795310E-3,2.191414498E-2,-2.687728032E-2
3.107290481E0,-1.328592747E-2,-1.122431830E-2,-3.069507517E-2
3.127400273E0,-4.077405483E-2,-2.145601064E-2,-5.222744122E-2
3.147510064E0,-4.031591862E-2,-7.559234742E-3,-6.994201243E-2
3.167619856E0,-1.023169141E-2,-1.962346770E-2,-6.459710002E-2
3.187729700E0,2.779355086E-2,-4.023956135E-2,-5.451811850E-2
3.207839491E0,5.741964281E-2,-5.077667907E-2,-4.825693369E-2
3.227949283E0,8.002099395E-2,-4.756972939E-2,-2.977880463E-2
3.248059127E0,1.491994411E-1,-5.825955793E-2,-3.359659761E-2
3.268168919E0,2.603736520E-1,-5.123481527E-2,-5.329642445E-2
3.288278710E0,3.587200642E-1,-8.864920586E-2,-5.772506446E-2
3.308388502E0,3.851391971E-1,-7.750124484E-2,-3.344388679E-2
3.328498346E0,3.373403847E-1,-1.136939451E-1,4.734066315E-3
3.348608137E0,2.878617644E-1,-2.005869746E-1,1.267508045E-2
3.368717929E0,2.707580328E-1,-1.859266311E-1,1.206423342E-2
3.388827773E0,2.498365343E-1,-1.208714023E-1,-1.298050396E-2
3.408937564E0,1.539335102E-1,-9.323056042E-2,-4.917320609E-2
3.429047356E0,5.558710173E-2,-5.566345528E-2,-6.322269142E-2
3.449157148E0,2.153236605E-2,-1.534753758E-2,-6.658235192E-2
3.469266991E0,2.473931387E-2,2.206685767E-2,-6.856760383E-2
3.489376783E0,2.183778957E-2,2.405211143E-2,-6.123743951E-2
3.509486575E0,2.748812549E-3,-7.864658721E-3,-5.635065958E-2
3.529596366E0,-3.527642787E-2,-3.588727675E-3,-5.405998230E-2
3.549706210E0,-8.872556686E-2,3.321481869E-2,-7.421794534E-2
3.569816002E0,-1.394258887E-1,7.994463295E-2,-1.200314835E-1
3.589925794E0,-2.099787444E-1,1.092653051E-1,-1.635543555E-1
3.610035637E0,-3.060344756E-1,1.083490327E-1,-1.800472289E-1
3.630145429E0,-3.759764731E-1,9.338327497E-2,-1.685938388E-1
