"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434895.927,"2025-08-17 18:18:15.927 UTC+05:30"
"PAUSE",1.722546906E1,1755434913.153,"2025-08-17 18:18:33.153 UTC+05:30"
