"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.863858375E0,-1.114881592E0,2.774929504E0,1.083237396E1
1.883853375E0,-6.824308777E-1,2.252066803E0,1.226848755E1
1.903849375E0,-3.597019958E-1,1.610950012E0,1.293475204E1
1.923845375E0,-5.026547241E-1,1.954485626E0,1.239736954E1
1.943841375E0,-6.545887756E-1,2.833607483E0,1.225456650E1
1.963837375E0,-7.741900635E-1,3.014581146E0,1.338875793E1
1.983832375E0,-5.966592407E-1,2.063459015E0,1.531016235E1
2.003828375E0,1.817221069E-1,7.728428650E-1,1.620335495E1
2.023824375E0,-2.216889954E-1,-2.374063110E-1,1.408825333E1
2.043820375E0,-2.800675964E-1,-6.436614990E-1,1.159384048E1
2.063815375E0,-1.193019104E-1,-9.804611206E-1,8.965007172E0
2.083811375E0,-1.437909851E0,2.844085693E-3,8.255632324E0
2.103807375E0,-1.796264648E-3,-5.584886169E-1,9.200317841E0
2.123803375E0,8.291258240E-1,-9.798623657E-1,1.032462982E1
2.143799375E0,-2.405497742E-1,-3.550616455E-1,9.714648285E0
2.163794375E0,1.930984497E-2,-5.402265930E-1,7.987689514E0
2.183790375E0,1.513352966E-1,-2.365081787E-1,6.751709747E0
2.203786375E0,-4.284091187E-1,3.894900513E-1,6.272256775E0
2.223782375E0,-3.195854187E-1,2.321672058E-1,6.162534943E0
2.243778375E0,1.748364258E-1,1.564247131E-1,6.281687164E0
2.263773375E0,-2.519261169E-1,3.613485718E-1,6.193071442E0
2.283769375E0,-1.007554779E0,5.605842590E-1,6.010750580E0
2.303765375E0,-1.472637634E0,9.078620911E-1,6.525979156E0
2.323761375E0,-1.419947205E0,1.256636810E0,6.821315002E0
2.343757375E0,-1.186582489E0,1.658251648E0,6.735543365E0
2.363752375E0,-9.768685913E-1,2.002386017E0,7.749983826E0
2.383748375E0,-7.937992859E-1,1.930685120E0,1.036025574E1
2.403744083E0,-1.002465363E0,1.308279419E0,1.151809799E1
2.423740083E0,-1.509311371E0,9.151968384E-1,1.166209854E1
2.443735083E0,-1.288071442E0,7.285350037E-1,1.272189468E1
2.463731083E0,-3.568579102E-1,7.815248108E-1,1.423749298E1
2.483727083E0,2.010319519E-1,1.242715759E0,1.451516556E1
2.503723083E0,1.755848694E-1,1.211131439E0,1.303294785E1
2.523719083E0,-1.041833496E-1,1.506766663E0,1.171508835E1
2.543714083E0,-1.197509766E-3,1.865121460E0,1.170685547E1
2.563710083E0,4.188290405E-1,1.654210052E0,1.245634689E1
2.583706083E0,6.727011108E-1,1.354233856E0,1.269539978E1
2.603702083E0,6.304888916E-1,1.026415558E0,1.175236084E1
2.623698083E0,6.361770630E-1,1.100361786E0,1.069525909E1
2.643693083E0,5.189707947E-1,1.403182068E0,9.875563660E0
2.663689083E0,6.230044556E-1,1.591191101E0,9.137448578E0
2.683685083E0,8.279283142E-1,1.772015076E0,8.726702728E0
2.703681083E0,8.882528687E-1,1.858385468E0,8.125103760E0
2.723677083E0,7.352709961E-1,2.044149170E0,7.261549530E0
2.743672083E0,6.039939880E-1,2.152823181E0,6.284980316E0
2.763668083E0,7.134164429E-1,2.007774811E0,5.625601501E0
2.783664083E0,8.439450073E-1,1.941313019E0,5.440586243E0
2.803660083E0,1.212778015E0,2.226020966E0,5.647006989E0
2.823655083E0,1.506018219E0,2.578238525E0,5.830225983E0
2.843651083E0,1.375040588E0,2.808609467E0,5.867947540E0
2.863647083E0,1.043480072E0,2.957549744E0,6.040089569E0
2.883643083E0,9.877958679E-1,3.428021393E0,6.779551849E0
2.903639083E0,8.556207275E-1,3.797153778E0,7.230713654E0
2.923634083E0,5.448669434E-1,4.202061768E0,7.580985260E0
2.943630083E0,6.941065979E-1,4.519551544E0,8.577463074E0
2.963626083E0,9.107061768E-1,4.542154541E0,1.019035904E1
2.983622083E0,7.078779602E-1,4.490511932E0,1.096245346E1
3.003618083E0,1.591191101E-1,4.544549561E0,1.155342453E1
3.023613083E0,-7.679031372E-2,4.599485321E0,1.285841080E1
3.043609083E0,1.592687988E-1,4.405189362E0,1.404604111E1
3.063605083E0,-1.130149841E-1,4.508025513E0,1.366074234E1
3.083601083E0,-5.316943359E-1,5.154381409E0,1.267848495E1
3.103596083E0,-3.098556519E-1,5.873036957E0,1.252774841E1
3.123592083E0,6.152206421E-2,5.605094147E0,1.311048660E1
3.143588083E0,3.162922668E-1,4.409680023E0,1.322080719E1
3.163584083E0,1.062789917E-1,3.554059296E0,1.210368027E1
3.183580083E0,-1.154100037E-1,3.487447815E0,1.081336349E1
3.203575083E0,1.904040527E-1,3.695515137E0,9.652228088E0
3.223571083E0,2.495310974E-1,3.861519928E0,8.305179291E0
3.243567083E0,1.920506287E-1,3.954776001E0,7.270081787E0
3.263563083E0,3.156935120E-1,3.949387207E0,6.953939209E0
3.283559083E0,2.433938599E-1,3.565735016E0,6.904990997E0
3.303554083E0,1.631607056E-2,3.025807800E0,6.858138428E0
3.323550083E0,-1.505868530E-1,2.627486115E0,6.578519897E0
3.343546083E0,-1.113684082E-1,2.557731171E0,6.383325806E0
3.363542083E0,6.586303711E-2,2.748584290E0,6.399641876E0
3.383538083E0,7.439529419E-2,2.874023438E0,6.078409882E0
3.403533083E0,7.723937988E-2,3.063379669E0,5.873336334E0
3.423528458E0,-1.767823792E-1,3.322490845E0,5.760171661E0
3.443524458E0,-5.031037903E-1,3.385659485E0,5.918542328E0
3.463520458E0,-5.903723145E-1,3.365301819E0,6.210884399E0
3.483515458E0,-3.815565491E-1,3.633993073E0,6.627318420E0
3.503511458E0,-8.053253174E-2,4.139940948E0,7.230414276E0
3.523507458E0,-1.799258423E-1,4.429438934E0,7.495363312E0
3.543503458E0,-3.275189209E-1,4.633015594E0,7.644453278E0
3.563499458E0,-3.335064697E-1,4.898413696E0,7.792046356E0
3.583494458E0,-4.391867065E-1,5.112767944E0,7.830815735E0
3.603490458E0,-3.110531616E-1,5.422773285E0,8.525371399E0
3.623486458E0,-1.001417542E-1,5.422623596E0,1.010683273E1
3.643482458E0,8.861572266E-2,5.004393311E0,1.114148117E1
3.663477458E0,-2.993774414E-2,4.553830261E0,1.105451202E1
3.683473458E0,1.155596924E-1,4.380341034E0,1.071651489E1
3.703469458E0,7.975415039E-1,4.583768005E0,1.090332642E1
3.723465458E0,1.596729584E0,4.790039062E0,1.153366562E1
3.743461458E0,2.304308167E0,4.718487854E0,1.200443665E1
3.763456458E0,2.730022888E0,4.377496948E0,1.185744232E1
3.783452458E0,2.693648529E0,4.054468689E0,1.120644608E1
3.803448458E0,2.374512177E0,3.857927399E0,1.028720764E1
3.823444458E0,1.968256989E0,3.926634521E0,9.826615448E0
3.843440458E0,1.789828033E0,4.029770050E0,9.537416840E0
3.863435458E0,1.830243988E0,4.168232117E0,9.197024689E0
3.883431458E0,1.876048737E0,4.218078461E0,8.397686920E0
3.903427458E0,1.908680878E0,4.018842773E0,7.731422424E0
3.923423458E0,1.997296600E0,3.744163971E0,7.936795349E0
3.943418458E0,1.658551025E0,3.510948944E0,8.959618378E0
3.963414458E0,1.277742920E0,2.936443634E0,9.451645203E0
3.983410458E0,1.166673889E0,2.184557190E0,8.368647308E0
4.003406458E0,9.916877747E-1,1.963167572E0,7.223678284E0
4.023402458E0,1.002615051E0,2.254162445E0,6.839277649E0
4.043397458E0,1.107247467E0,2.503543854E0,6.512507172E0
4.063393458E0,7.884104919E-1,2.698288879E0,6.075715485E0
4.083389458E0,6.138734436E-1,2.805166626E0,5.741460571E0
4.103385458E0,4.760101318E-1,3.047362976E0,5.917943573E0
4.123380458E0,-1.272354126E-2,3.294948120E0,6.728058929E0
4.143376458E0,-2.850073242E-1,3.431015167E0,7.308851166E0
4.163372458E0,-2.137554932E-1,3.886967010E0,7.778125305E0
4.183368458E0,2.365081787E-1,4.662354584E0,8.192463684E0
4.203364458E0,9.824070740E-1,5.458548889E0,8.952882385E0
4.223359458E0,1.229992218E0,5.617817688E0,9.703870697E0
4.243355458E0,9.539662170E-1,5.002447357E0,1.077893509E1
4.263351458E0,4.577481079E-1,4.316124573E0,1.238479568E1
4.283347458E0,-4.939727783E-3,4.131109314E0,1.338277039E1
4.303342458E0,-5.388793945E-2,4.615052948E0,1.319012100E1
4.323338458E0,-1.531315613E-1,5.085674286E0,1.176628189E1
4.343334458E0,-2.902464294E-1,5.290747833E0,1.165251846E1
4.363330458E0,-1.489402771E-1,4.609364777E0,1.258088791E1
4.383326458E0,-2.498304749E-1,3.890559540E0,1.374875931E1
4.403321458E0,-2.185455322E-1,3.335364075E0,1.352796844E1
4.423318333E0,-1.435514832E-1,3.242706757E0,1.202569244E1
4.443314333E0,-1.987866211E-1,3.808530121E0,1.039363632E1
4.463310333E0,-7.095245361E-2,4.311783600E0,9.315129089E0
4.483305333E0,-1.971400452E-1,4.167932739E0,8.574020233E0
4.503301333E0,-5.188211060E-1,3.611839142E0,8.472830658E0
4.523297333E0,-4.370910645E-1,2.962339783E0,8.568332062E0
4.543293333E0,-1.793270874E-1,2.675685883E0,8.195607147E0
4.563289333E0,-7.948471069E-2,2.728076935E0,7.296876068E0
4.583284333E0,8.038284302E-2,2.889591064E0,6.410120087E0
