"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434942.181,"2025-08-17 18:19:02.181 UTC+05:30"
"PAUSE",1.813072978E1,1755434960.311,"2025-08-17 18:19:20.311 UTC+05:30"
