"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433570.820,"2025-08-17 17:56:10.820 UTC+05:30"
"PAUSE",3.036402936E1,1755433601.184,"2025-08-17 17:56:41.184 UTC+05:30"
