"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.723064552E0,-1.037676781E-1,-3.466558084E-2,8.322793990E-3
1.743174657E0,-7.948649675E-2,-5.925218388E-2,-2.367033157E-3
1.763284813E0,-9.261971712E-2,-8.078455180E-2,-7.559234742E-3
1.783394917E0,-8.987089992E-2,-2.947338112E-2,-3.894151188E-3
1.803505073E0,-5.902311578E-2,-3.115320951E-2,-1.229330152E-2
1.823615177E0,-4.711159319E-2,-5.757235363E-2,8.322793990E-3
1.843725334E0,-6.345175952E-2,-5.329642445E-2,2.115058713E-2
1.863835438E0,-7.887565345E-2,-2.137965523E-3,1.107160654E-2
1.883945542E0,-9.338327497E-2,1.664558798E-2,7.559234742E-3
1.904055698E0,-8.605311066E-2,8.857285604E-3,9.391776286E-3
1.924165802E0,-7.475243509E-2,7.024743594E-3,-1.015533600E-2
1.944275959E0,-7.704310864E-2,9.315420873E-3,-3.993413970E-2
1.964386063E0,-5.444176123E-2,6.047387794E-2,-5.245650932E-2
1.984496219E0,-1.687465608E-2,9.437590092E-2,-1.626380906E-2
2.004606323E0,-1.550024934E-2,6.627693027E-2,5.505260825E-2
2.024716480E0,-3.382566571E-2,8.704573847E-3,1.152210608E-1
2.044826584E0,-4.176668078E-2,-2.382304333E-2,1.182752997E-1
2.064936740E0,-5.062396824E-2,-2.000524849E-2,9.338327497E-2
2.085046844E0,-7.414158434E-2,-1.343864016E-2,8.177717775E-2
2.105157000E0,-7.948649675E-2,-3.970507067E-3,1.080436110E-1
2.125267105E0,-4.741701856E-2,-9.620844387E-3,1.349208951E-1
2.145377261E0,7.406522986E-3,-1.389677543E-2,1.285069883E-1
2.165487365E0,3.474193811E-2,-3.298575059E-2,1.158319116E-1
2.185597521E0,1.152974181E-2,-3.955236077E-2,1.039203927E-1
2.205707625E0,-2.389939874E-2,-7.024743594E-3,8.956547827E-2
2.225817782E0,-4.497363046E-2,2.122694254E-2,7.887565345E-2
2.245927886E0,-4.314108938E-2,2.015795931E-2,7.536327839E-2
2.266038042E0,-1.366770733E-2,1.557660475E-2,6.772769243E-2
2.286148146E0,1.534753758E-2,2.183778957E-2,5.245650932E-2
2.306258250E0,3.993413970E-2,3.619270027E-2,4.588989913E-2
2.326368407E0,5.948125198E-2,4.993676394E-2,2.619007602E-2
2.346478511E0,5.169294775E-2,2.382304333E-2,7.635590737E-5
2.366588667E0,2.374668792E-2,-2.748812549E-3,-1.672194339E-2
2.386698771E0,8.780929260E-3,1.038440317E-2,-2.741177008E-2
2.406808927E0,1.992889121E-2,5.070032179E-2,-2.206685767E-2
2.426919032E0,2.557922900E-2,5.741964281E-2,-2.588465251E-2
2.447029188E0,2.206685767E-2,4.077405483E-2,-2.848075330E-2
2.467139292E0,3.588727675E-3,-2.443389036E-3,-3.229855001E-2
2.487249448E0,-2.084516361E-2,-3.603998944E-2,-5.734328553E-2
2.507359552E0,-2.771719359E-2,-2.199050039E-2,-8.712209016E-2
2.527469709E0,-2.160872146E-2,8.857285604E-3,-8.422056586E-2
2.547579813E0,-1.030804776E-2,-1.130067464E-2,-5.780142173E-2
2.567689969E0,4.573718831E-2,-1.649287529E-2,-5.459447205E-2
2.587800073E0,8.819106966E-2,-2.397575416E-2,-7.811209559E-2
2.607910177E0,5.764871091E-2,-1.603474095E-2,-8.559497446E-2
2.628020334E0,5.268557463E-3,2.626643144E-2,-8.330429345E-2
2.648130438E0,-1.748550311E-2,3.634541109E-2,-8.742751181E-2
2.668240594E0,-1.046075951E-2,1.908897609E-2,-9.017632902E-2
2.688350698E0,-1.443126611E-2,-7.024743594E-3,-1.019351333E-1
2.708460855E0,-1.947075687E-2,5.039489828E-3,-9.628479928E-2
2.728570959E0,-1.473669056E-2,3.680354729E-2,-7.582141459E-2
2.748681115E0,1.229330152E-2,5.680879578E-2,-4.497363046E-2
2.768791219E0,4.115583375E-2,3.619270027E-2,-2.053973824E-2
2.788901323E0,3.932329267E-2,7.330167107E-3,-2.985516004E-2
2.809011480E0,7.253811229E-3,-2.336490713E-2,-4.100312293E-2
2.829121584E0,-3.565821052E-2,-1.847812906E-2,-3.382566571E-2
2.849231740E0,-5.016583204E-2,2.290677279E-2,-1.580567285E-2
2.869341844E0,-1.473669056E-2,5.283828825E-2,-2.367033157E-3
2.889452000E0,1.488940232E-2,2.428117767E-2,-1.030804776E-2
2.909562105E0,3.184041381E-2,9.009997360E-3,-1.137703005E-2
2.929672209E0,3.504735976E-2,2.626643144E-2,-6.032116711E-3
2.949782365E0,1.259872504E-2,3.894151375E-2,-7.635590737E-5
2.969892469E0,-6.604786217E-2,1.649287529E-2,-8.170082234E-3
2.990002030E0,-1.503447890E-1,-1.481304597E-2,-1.091889478E-2
3.010112135E0,-1.385859698E-1,-4.581354558E-3,-6.795675959E-3
3.030222239E0,-4.833329096E-2,2.748812735E-2,-1.061347127E-2
3.050332395E0,2.588465251E-2,2.412846684E-2,-7.711946499E-3
3.070442499E0,8.475505747E-3,-7.177455351E-3,-4.046862945E-3
3.090552655E0,-6.100837141E-2,-1.496575773E-2,-8.399150101E-4
3.110662760E0,-9.032903612E-2,2.932066843E-2,-8.933641016E-3
3.130772916E0,-8.040276915E-2,2.351761982E-2,-1.198787708E-2
3.150883020E0,-6.039752439E-2,-1.740914769E-2,7.406522986E-3
3.170993124E0,-2.069245093E-2,-4.642439261E-2,2.084516361E-2
3.191103280E0,5.612159148E-2,-6.658235192E-2,1.366770733E-2
3.211213385E0,1.295759678E-1,-9.788827598E-2,2.664821222E-2
3.231323541E0,1.439308822E-1,-1.279724985E-1,5.627430230E-2
3.251433645E0,1.002553031E-1,-6.795676053E-2,7.551599294E-2
3.271543749E0,4.436278343E-2,3.145863488E-2,7.322531193E-2
3.291653905E0,1.244601328E-2,6.536065787E-2,3.794888780E-2
3.311764010E0,-1.183516532E-2,2.993151546E-2,-1.183516532E-2
3.331874166E0,-2.313583903E-2,-3.710897267E-2,-3.565821052E-2
3.351984270E0,4.504998680E-3,-1.878355257E-2,-1.550024934E-2
3.372094374E0,4.512634128E-2,3.955236077E-2,-1.908897655E-3
3.392204530E0,8.269345015E-2,8.231166750E-2,6.184828468E-3
3.412314635E0,8.956547827E-2,4.352286831E-2,8.475505747E-3
3.432424791E0,3.138227761E-2,-3.206948191E-2,-1.412584260E-2
3.452534895E0,-3.718532622E-2,-2.916795574E-2,-2.695363574E-2
3.472645051E0,-3.077143058E-2,1.771457121E-2,-1.229330152E-2
3.492755155E0,4.573718831E-2,5.589252338E-2,7.711946499E-3
3.512865260E0,1.013242900E-1,7.024743594E-3,2.619007602E-2
3.532975416E0,9.552124143E-2,-4.260659590E-2,3.565821052E-2
3.553085520E0,6.070294604E-2,-4.932591692E-2,1.855448633E-2
3.573195624E0,2.451024577E-2,-2.015795931E-2,6.642963737E-3
3.593305780E0,-1.336228382E-2,-1.404948719E-2,4.046862945E-3
3.613415885E0,-2.619007602E-2,-6.566607859E-3,-3.894151188E-3
3.633526041E0,1.779092662E-2,-7.330167107E-3,-2.451024577E-2
3.653636145E0,8.422056586E-2,-2.137965523E-3,-4.146125913E-2
3.673746249E0,8.559497446E-2,2.901524538E-3,-3.321481869E-2
3.693856405E0,2.160872146E-2,5.497625098E-3,-2.619007602E-2
3.713966510E0,-3.458922729E-2,2.122694254E-2,-5.230379477E-2
3.734076614E0,-3.153498843E-2,3.588727489E-2,-7.307260484E-2
3.754186770E0,-2.367033157E-3,1.740914769E-2,-7.001836598E-2
3.774296874E0,2.214321401E-3,-9.926267900E-3,-5.657972768E-2
3.794407030E0,-7.406522986E-3,5.344913341E-3,-4.375193641E-2
3.814517135E0,-6.795675959E-3,5.482354015E-2,-3.229855001E-2
3.834627239E0,7.406522986E-3,5.497625470E-2,-1.779092662E-2
3.854737395E0,1.443126611E-2,1.649287529E-2,-7.253811229E-3
3.874847499E0,2.221956849E-2,1.068982668E-2,7.101099472E-3
3.894957655E0,-1.107160654E-2,8.551862091E-3,1.603474026E-3
3.915067760E0,-5.215108395E-2,1.343864016E-2,6.490251981E-3
3.935177864E0,-5.795413256E-2,1.038440317E-2,8.017370477E-3
3.955288020E0,-3.565821052E-2,2.657185495E-2,7.253811229E-3
3.975398124E0,-7.101099472E-3,4.703523964E-2,2.825168660E-3
3.995508228E0,1.061347127E-2,4.092676565E-2,-1.603474026E-3
4.015618385E0,3.741439432E-3,1.404948719E-2,3.894151188E-3
4.035728489E0,-1.412584260E-2,2.031067200E-2,1.366770733E-2
4.055838645E0,-3.588727675E-3,5.772506446E-2,1.885990985E-2
4.075948749E0,1.137703005E-2,3.130592033E-2,1.947075687E-2
4.096058853E0,1.855448633E-2,-1.801999472E-2,3.626905754E-2
4.116169010E0,2.725905925E-2,-4.123219103E-2,2.695363574E-2
4.136279114E0,4.802786559E-2,-7.849387079E-2,2.008160390E-2
4.156389218E0,8.437328041E-2,-3.878879920E-2,2.283041552E-2
4.176499374E0,8.727480471E-2,1.557660475E-2,2.863346599E-2
4.196609478E0,4.711159319E-2,2.183778957E-2,4.268295318E-2
4.216719635E0,-2.893888950E-2,-8.551862091E-3,5.688514933E-2
4.236829739E0,-1.068219170E-1,-4.886778072E-3,6.467345357E-2
4.256939843E0,-1.202605516E-1,3.344388679E-2,5.123481527E-2
4.277049999E0,-8.544225991E-2,1.985253580E-2,4.329380020E-2
4.297160103E0,-1.580567285E-2,-3.252761811E-2,6.757497787E-2
4.317270207E0,4.879142344E-2,-1.649287529E-2,4.818057641E-2
4.337380364E0,3.672719002E-2,-2.901524492E-2,2.435753495E-2
4.357490468E0,-2.023431472E-2,-4.275930673E-2,6.314633787E-2
4.377600572E0,-4.909684882E-2,-4.031591862E-2,6.818582863E-2
4.397710728E0,-5.077667907E-2,-2.412846684E-2,2.588465251E-2
4.417820832E0,-5.551074445E-2,-4.932591692E-2,-9.697199799E-3
4.437930989E0,-4.482091591E-2,-5.818320066E-2,-8.170082234E-3
4.458041093E0,-3.741439432E-3,-2.504473738E-2,1.320957206E-2
4.478151197E0,2.878617682E-2,2.000524849E-2,1.611109637E-2
4.498261353E0,5.268557463E-3,-2.321219631E-2,1.214058883E-2
4.518371457E0,-2.435753495E-2,-6.047387794E-2,7.864658721E-3
4.538481562E0,-1.855448633E-2,-4.459185153E-2,-2.283041552E-2
4.558591718E0,1.458397787E-2,-5.054761097E-2,-3.703261539E-2
4.578701822E0,3.428380191E-2,-4.352286831E-2,-4.695888236E-2
4.598811926E0,1.214058883E-2,-1.756185852E-2,-6.039752439E-2
4.618922082E0,-2.649549954E-2,1.404948719E-2,-6.085565686E-2
4.639032187E0,-5.428905040E-2,2.428117767E-2,-7.566870749E-2
4.659142291E0,-5.688514933E-2,-7.482878864E-3,-9.231429547E-2
4.679252447E0,-7.307260484E-2,-4.428642616E-2,-1.251473278E-1
4.699362551E0,-2.468586415E-1,-6.810946763E-2,-1.947839260E-1
4.719472707E0,-4.748573899E-1,2.519745007E-2,-1.773747802E-1
4.739582812E0,-5.032618046E-1,1.328592747E-1,-9.628479928E-2
4.759692916E0,-3.180223405E-1,1.572931744E-2,-1.523300409E-1
4.779803072E0,2.954973653E-2,-2.112004459E-1,-2.575484812E-1
4.799913176E0,2.167744190E-1,-3.669664860E-1,-4.270585775E-1
4.820023280E0,1.274380088E-1,-2.466295809E-1,-4.840200841E-1
4.840133437E0,1.199551299E-1,1.421747059E-1,-3.549786210E-1
4.860243541E0,2.059318870E-1,2.209739983E-1,-2.386122048E-1
4.880353645E0,1.230093688E-1,1.493521482E-1,-1.524827480E-1
4.900463801E0,-7.551599294E-2,4.535540938E-2,-1.369061470E-1
4.920573905E0,-7.872293890E-2,-1.056765765E-1,-1.995179802E-1
4.940684010E0,8.208259940E-2,-1.803526580E-1,-3.059581220E-1
4.960794166E0,1.642415524E-1,-2.053973973E-1,-3.090123534E-1
4.980904270E0,1.298813969E-1,-1.456870735E-1,-2.208976448E-1
5.001014426E0,1.071273386E-1,-7.559234649E-2,-1.813452840E-1
5.021124530E0,1.294232607E-1,-1.099525020E-2,-2.996969223E-1
5.041234635E0,7.750124484E-2,-5.314370990E-2,-3.132883012E-1
5.061344791E0,-9.391776286E-3,-1.236965731E-1,-1.323247850E-1
5.081454895E0,-1.381278336E-1,1.007897966E-2,-1.336228382E-2
5.101564999E0,-4.163687527E-1,2.854183912E-1,2.230356038E-1
5.121675155E0,-6.165739298E-1,4.549284875E-1,6.083275080E-1
5.141785260E0,-5.577799082E-1,4.599680007E-1,8.118923903E-1
5.161895364E0,-3.148154020E-1,3.243598938E-1,6.811710596E-1
5.182005520E0,7.291989028E-2,1.595838517E-1,3.842992783E-1
5.202115624E0,4.504235089E-1,-6.963659078E-2,8.055548370E-2
5.222225728E0,6.635328531E-1,-2.008160353E-1,-8.681666851E-2
5.242335885E0,6.777350307E-1,-4.028537571E-1,9.994988143E-2
5.262445989E0,5.182275176E-1,-5.157077909E-1,3.809396327E-1
5.282556145E0,2.028776407E-1,-3.367295563E-1,3.980433345E-1
5.302666249E0,-9.689565003E-2,1.985253533E-3,2.960318625E-1
5.322776353E0,-2.864110172E-1,2.644968629E-1,1.848576516E-1
5.342886510E0,-3.207711577E-1,3.513898849E-1,1.178171635E-1
5.362996614E0,-2.367796749E-1,3.187095523E-1,8.315158635E-2
5.383106718E0,-1.483595222E-1,6.749862432E-2,3.581092134E-2
5.403216874E0,-8.147175610E-2,-1.516428292E-1,-2.878617682E-2
