"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.634267500E-2,3.206382394E-1,4.252045631E0,8.751749039E0
3.645277900E-2,1.063609719E0,4.252644062E0,7.803592682E0
5.656283200E-2,7.375875711E-1,4.558925152E0,8.441878319E0
7.667288400E-2,6.831508875E-1,4.297509670E0,8.883354187E0
9.678298800E-2,4.067798555E-1,4.228117466E0,8.919246674E0
1.168930400E-1,3.726821244E-1,4.268197536E0,9.028717995E0
1.370031440E-1,3.942175210E-1,4.258028030E0,9.094520569E0
1.571131960E-1,3.607180119E-1,4.262813568E0,8.905488014E0
1.772233000E-1,3.242274821E-1,4.318446636E0,8.658429146E0
1.973333520E-1,3.361915946E-1,4.348955154E0,8.549555779E0
2.174434570E-1,3.882354796E-1,4.363910198E0,8.684151649E0
2.375535090E-1,3.822534084E-1,4.386641979E0,8.927620888E0
2.576635610E-1,2.650051117E-1,4.393820763E0,9.047262192E0
2.777736650E-1,2.506481707E-1,4.368097782E0,8.982057571E0
2.978837170E-1,4.157529473E-1,4.383052826E0,8.870791435E0
3.179938210E-1,4.983053207E-1,4.448257446E0,8.848658562E0
3.381038730E-1,3.750749528E-1,4.445266247E0,8.913862228E0
3.582139250E-1,3.756731451E-1,4.341178417E0,8.977272034E0
3.783240290E-1,3.744767308E-1,4.355535507E0,9.089137077E0
3.984340820E-1,3.750749528E-1,4.437489510E0,9.032307625E0
4.185441860E-1,4.325026870E-1,4.432703972E0,8.839086533E0
4.386542380E-1,4.707878530E-1,4.388436794E0,8.745168686E0
4.587643420E-1,6.035895348E-1,4.383052826E0,8.803792953E0
4.788743940E-1,7.112665176E-1,4.378267288E0,8.846264839E0
4.989844460E-1,6.681957245E-1,4.399204254E0,8.900103569E0
5.190945500E-1,5.904290080E-1,4.405784607E0,8.852247238E0
5.392046020E-1,4.480560422E-1,4.434498787E0,8.669795036E0
5.593146540E-1,4.007977843E-1,4.432703972E0,8.628518105E0
5.794247590E-1,3.708875179E-1,4.432703972E0,8.755936623E0
5.995348110E-1,2.309073806E-1,4.446462631E0,8.754141808E0
6.196449150E-1,1.316052526E-1,4.435096741E0,8.664410591E0
6.397549670E-1,1.752742529E-1,4.415356159E0,8.672785759E0
6.598650190E-1,2.614158690E-1,4.378267288E0,8.880363464E0
6.799751230E-1,2.470589429E-1,4.362115860E0,9.013762474E0
7.000851750E-1,1.794617027E-1,4.403391838E0,8.940781593E0
7.201952790E-1,2.225325108E-1,4.441078663E0,8.684151649E0
7.403053320E-1,2.919243574E-1,4.460221291E0,8.660223007E0
7.604153840E-1,4.378865361E-1,4.432105541E0,8.903693199E0
7.805254880E-1,4.893322289E-1,4.418346882E0,9.089137077E0
8.006355400E-1,4.450650215E-1,4.379463673E0,9.050253868E0
8.207455920E-1,4.235295951E-1,4.342973232E0,8.916853905E0
8.408556960E-1,5.144568682E-1,4.372285366E0,8.925228119E0
8.609657480E-1,5.581258535E-1,4.414159775E0,8.872586250E0
8.810758520E-1,4.983053207E-1,4.368097782E0,8.709276199E0
9.011859040E-1,3.206382394E-1,4.403990269E0,8.571090698E0
9.212959570E-1,1.890329868E-1,4.467998028E0,8.496912956E0
9.414060610E-1,2.709871531E-1,4.403990269E0,8.688937187E0
9.615161130E-1,4.271188378E-1,4.311268330E0,9.094520569E0
9.816261650E-1,5.108676553E-1,4.277170658E0,9.407382011E0
1.001736217E0,4.695914388E-1,4.250251293E0,9.437891006E0
1.021846321E0,4.737788737E-1,4.235894203E0,9.143573761E0
1.041956373E0,5.688936114E-1,4.271786690E0,8.922237396E0
1.062066425E0,6.089733839E-1,4.262813568E0,8.924032211E0
1.082176529E0,5.395814776E-1,4.249054909E0,8.986245155E0
1.102286582E0,5.365904570E-1,4.250251293E0,8.977870941E0
1.122396634E0,5.276173949E-1,4.238885403E0,8.982057571E0
1.142506738E0,5.688936114E-1,4.207180500E0,9.060422897E0
1.162616790E0,6.759724021E-1,4.203591347E0,9.117252350E0
1.182726842E0,7.184450030E-1,4.208974838E0,8.982057571E0
1.202836946E0,6.442674994E-1,4.240081787E0,8.666205406E0
1.222946998E0,5.647061467E-1,4.253242016E0,8.553742409E0
1.243057050E0,6.191428304E-1,4.253242016E0,8.722436905E0
1.263167154E0,6.131607890E-1,4.236492634E0,8.900103569E0
1.283277207E0,6.305087805E-1,4.173680782E0,8.946166039E0
1.303387259E0,7.304090858E-1,4.193421841E0,8.957531929E0
1.323497363E0,7.064808607E-1,4.217350006E0,8.952147484E0
1.343607415E0,6.993024349E-1,4.223331928E0,8.902496338E0
1.363717467E0,6.999006271E-1,4.200600147E0,8.913862228E0
1.383827519E0,7.022934556E-1,4.149154663E0,8.929415703E0
1.403937623E0,6.622136831E-1,4.123431683E0,8.944371223E0
1.424047675E0,6.658028960E-1,4.084548473E0,8.999405861E0
1.444157727E0,5.964110494E-1,4.130609989E0,9.001200676E0
1.464267832E0,5.898307562E-1,4.186243057E0,8.892925262E0
1.484377884E0,6.616154313E-1,4.144967079E0,8.699107170E0
1.504487936E0,7.920243144E-1,4.127619267E0,8.800801277E0
1.524597988E0,8.805587292E-1,4.066602230E0,9.110074043E0
1.544708092E0,7.674978375E-1,4.027718544E0,9.466006279E0
1.564818144E0,6.125625968E-1,3.971487284E0,9.608379364E0
1.584928196E0,6.532405615E-1,3.947559118E0,9.448657990E0
1.605038248E0,8.303094506E-1,3.957130432E0,9.202198029E0
1.625148352E0,8.967102766E-1,3.977469444E0,9.040083885E0
1.645258404E0,8.309076428E-1,3.986442566E0,8.925228119E0
1.665368457E0,6.963114142E-1,3.946960926E0,8.915059090E0
1.685478509E0,6.305087805E-1,3.860819340E0,9.101698875E0
1.705588613E0,6.191428304E-1,3.815953970E0,9.288339615E0
1.725698665E0,6.628118753E-1,3.785445452E0,9.339186668E0
1.745808717E0,6.562315822E-1,3.793820381E0,9.258428574E0
1.765918769E0,6.263213158E-1,3.805784464E0,9.172885895E0
1.786028873E0,6.514459848E-1,3.792623997E0,9.141778946E0
1.806138925E0,6.550351977E-1,3.759722471E0,9.145368576E0
1.826248977E0,5.928218365E-1,3.766302824E0,9.135198593E0
1.846359029E0,5.461617708E-1,3.790230989E0,9.190233231E0
1.866469134E0,6.047859192E-1,3.783650875E0,9.242876053E0
1.886579186E0,6.867401004E-1,3.786043644E0,9.270991325E0
1.906689238E0,7.411768436E-1,3.783052683E0,9.239884377E0
1.926799290E0,7.184450030E-1,3.809971809E0,9.147761345E0
1.946909342E0,6.687939167E-1,3.820141315E0,9.101698875E0
1.967019446E0,7.363911867E-1,3.765106440E0,9.200403214E0
1.987129498E0,6.783652306E-1,3.765704632E0,9.251250267E0
2.007239550E0,5.330012441E-1,3.845266104E0,9.085547447E0
2.027349602E0,6.023930907E-1,3.863212109E0,8.866005898E0
2.047459707E0,7.334001660E-1,3.862015724E0,8.987442017E0
2.067569759E0,7.639086246E-1,3.802793503E0,9.261420250E0
2.087679811E0,6.143572330E-1,3.731606960E0,9.439086914E0
2.107789863E0,5.455635786E-1,3.690330744E0,9.451649666E0
2.127899915E0,5.868397355E-1,3.729214191E0,9.400203705E0
2.148010019E0,6.305087805E-1,3.753142357E0,9.276973724E0
2.168120071E0,7.160521746E-1,3.758526087E0,9.104690552E0
2.188230123E0,7.489534616E-1,3.779463291E0,9.023932457E0
2.208340175E0,7.286145091E-1,3.756133318E0,9.103493690E0
2.228450227E0,7.088736892E-1,3.731008768E0,9.181260109E0
2.248560279E0,7.423732281E-1,3.695714474E0,9.159127235E0
2.268670384E0,7.070791125E-1,3.690928936E0,9.170493126E0
2.288780436E0,6.897311211E-1,3.652643681E0,9.129815102E0
2.308890488E0,7.316055298E-1,3.622733593E0,9.158528328E0
2.329000540E0,8.021938205E-1,3.600599766E0,9.205188751E0
2.349110592E0,8.171489239E-1,3.570689678E0,9.100502968E0
2.369220644E0,8.225327730E-1,3.553341627E0,8.935996056E0
2.389330748E0,8.937192559E-1,3.543172121E0,8.809774399E0
2.409440800E0,1.064207911E0,3.518645763E0,8.797810555E0
2.429550852E0,1.076770186E0,3.513261795E0,8.832506180E0
2.449660904E0,9.146564603E-1,3.446262836E0,8.964710236E0
2.469770957E0,7.597211599E-1,3.455834150E0,9.062217712E0
2.489881009E0,7.585247755E-1,3.537788391E0,9.077771187E0
2.509991113E0,8.697910309E-1,3.493520975E0,8.901300430E0
2.530101165E0,7.417750359E-1,3.504886866E0,8.825926781E0
2.550211217E0,6.065805554E-1,3.538984776E0,8.886942863E0
2.570321269E0,6.717849374E-1,3.475574970E0,9.014959335E0
2.590431321E0,8.045865893E-1,3.390629768E0,9.376873970E0
2.610541373E0,8.949156404E-1,3.290729284E0,9.767501831E0
2.630651425E0,8.913264275E-1,3.187239647E0,9.907482147E0
2.650761529E0,7.429714203E-1,3.168695450E0,9.762118340E0
2.670871582E0,4.737788737E-1,3.150151014E0,9.375079155E0
2.690981634E0,4.438686073E-1,3.090330362E0,9.223134995E0
2.711091686E0,5.958128572E-1,3.010769129E0,9.434301376E0
2.731201738E0,5.437689424E-1,2.971287489E0,9.432506561E0
2.751311790E0,4.654040039E-1,2.952743053E0,9.226125717E0
2.771421842E0,4.115654826E-1,2.915654421E0,9.235696793E0
2.791531894E0,4.271188378E-1,2.836691141E0,9.414560318E0
2.811641998E0,5.018945336E-1,2.797807932E0,9.619745255E0
2.831752050E0,5.898307562E-1,2.788236618E0,9.707681656E0
2.851862102E0,6.047859192E-1,2.799004316E0,9.670592308E0
2.871972154E0,5.922235847E-1,2.782852650E0,9.699904442E0
2.892082207E0,6.035895348E-1,2.711068153E0,9.843474388E0
2.912192259E0,6.382854581E-1,2.636292458E0,1.001276588E1
2.932302311E0,6.723831892E-1,2.599203587E0,1.001515961E1
2.952412363E0,7.806583643E-1,2.571087837E0,9.922437668E0
2.972522415E0,8.309076428E-1,2.582453728E0,9.780064583E0
2.992632519E0,8.386843204E-1,2.636890650E0,9.693922997E0
3.012742571E0,8.548358679E-1,2.670988321E0,9.543174744E0
3.032852623E0,8.913264275E-1,2.648854733E0,9.390632629E0
3.052962675E0,8.434699774E-1,2.634497643E0,9.511469841E0
3.073072727E0,7.345965505E-1,2.678765059E0,9.669994354E0
3.093182779E0,7.974081635E-1,2.654238462E0,9.623932838E0
3.113292832E0,9.391828775E-1,2.615355253E0,9.640682220E0
3.133402884E0,9.732806087E-1,2.612962246E0,9.696315765E0
3.153512936E0,9.050851464E-1,2.579462767E0,9.766305923E0
3.173622988E0,8.446664214E-1,2.563311338E0,9.792028427E0
3.193733040E0,8.231309652E-1,2.626122952E0,9.667003632E0
3.213843092E0,9.200403094E-1,2.644667149E0,9.401400566E0
3.233953144E0,9.511470199E-1,2.663809776E0,9.198608398E0
3.254063248E0,9.343972206E-1,2.679363251E0,9.121439934E0
3.274173300E0,8.913264275E-1,2.659622431E0,9.226723671E0
3.294283352E0,8.075776696E-1,2.624328136E0,9.327222824E0
3.314393404E0,7.357929349E-1,2.538784742E0,9.369695663E0
3.334503457E0,7.651050687E-1,2.465803623E0,9.602995872E0
3.354613509E0,7.292127013E-1,2.425125837E0,9.943374634E0
3.374723561E0,6.155536175E-1,2.428714991E0,9.934401512E0
3.394833613E0,4.474578202E-1,2.467598438E0,9.629316330E0
3.414943665E0,4.217349887E-1,2.496910334E0,9.384650230E0
3.435053717E0,4.648058116E-1,2.503490686E0,9.460622787E0
3.455163769E0,4.588237405E-1,2.507678032E0,9.738788605E0
3.475273821E0,4.151547253E-1,2.483151674E0,9.881160736E0
3.495383873E0,4.498506486E-1,2.441875458E0,9.819545746E0
3.515493925E0,4.863412082E-1,2.432304144E0,9.808777809E0
3.535603977E0,3.858426511E-1,2.458625317E0,9.757332802E0
3.555714029E0,3.852444589E-1,2.451446772E0,9.604191780E0
3.575824082E0,3.876372576E-1,2.400001049E0,9.695717812E0
3.595934134E0,2.985046208E-1,2.420340061E0,9.881160736E0
3.616044238E0,3.122633696E-1,2.402992249E0,9.874580383E0
3.636154290E0,4.277170599E-1,2.321636200E0,9.816555023E0
3.656264342E0,4.528416991E-1,2.299502611E0,9.930811882E0
3.676374394E0,3.415754437E-1,2.238485575E0,1.002831936E1
3.696484446E0,2.745763958E-1,2.208575249E0,9.934999466E0
3.716594498E0,2.943171859E-1,2.221137524E0,9.728618622E0
3.736704550E0,4.157529473E-1,2.212164640E0,9.643074989E0
3.756814602E0,4.259224236E-1,2.196012974E0,9.759725571E0
3.776924654E0,3.523431420E-1,2.231307030E0,9.759127617E0
3.797034707E0,3.553341627E-1,2.258824587E0,9.614959717E0
3.817144759E0,4.935196638E-1,2.261815548E0,9.564111710E0
3.837254811E0,5.485545993E-1,2.259422779E0,9.550353050E0
3.857364863E0,4.671986103E-1,2.241476536E0,9.628718376E0
3.877474915E0,3.864408433E-1,2.231307030E0,9.717252731E0
3.897584967E0,3.798605800E-1,2.259422779E0,9.705288887E0
3.917695019E0,4.594219327E-1,2.312663078E0,9.562915802E0
3.937805071E0,5.587241054E-1,2.362912416E0,9.476774216E0
3.957915123E0,6.340979934E-1,2.364108801E0,9.520442963E0
3.978025175E0,5.635097623E-1,2.374278307E0,9.640084267E0
3.998135227E0,4.384847581E-1,2.386242390E0,9.696913719E0
4.018245279E0,3.738785386E-1,2.371287346E0,9.745368004E0
4.038355332E0,3.954139352E-1,2.398804665E0,9.775279045E0
4.058465384E0,4.145565331E-1,2.377867460E0,9.869794846E0
4.078575436E0,3.469592929E-1,2.348555326E0,1.004088211E1
4.098685488E0,3.882354796E-1,2.361716032E0,1.006480980E1
4.118795540E0,6.077769399E-1,2.340180635E0,9.835099220E0
4.138905592E0,5.168496966E-1,2.465803623E0,9.624530792E0
4.159015644E0,2.865405083E-1,2.572882652E0,9.417551994E0
4.179125696E0,2.464607358E-1,2.498106956E0,9.363713264E0
4.199235748E0,3.230310678E-1,2.446063042E0,9.647860527E0
4.219345800E0,3.176472187E-1,2.386840582E0,9.957731247E0
4.239455852E0,2.632105052E-1,2.358724833E0,9.955936432E0
4.259565904E0,3.990031779E-1,2.392224550E0,9.772287369E0
4.279675957E0,5.814558864E-1,2.421536446E0,9.707083702E0
4.299786009E0,5.282155871E-1,2.481357098E0,9.732208252E0
4.319896061E0,4.037888348E-1,2.519043922E0,9.844072342E0
4.340006113E0,4.097708762E-1,2.498705149E0,9.933803558E0
4.360116165E0,6.281159520E-1,2.453241348E0,9.850652695E0
4.380226217E0,8.398807645E-1,2.526222467E0,9.710672379E0
4.400336269E0,8.883354068E-1,2.742773056E0,9.616155624E0
4.420446321E0,8.261220455E-1,2.919243574E0,9.461818695E0
4.440556373E0,8.303094506E-1,2.989831924E0,9.361320496E0
4.460666425E0,9.625129104E-1,2.986242771E0,9.339784622E0
4.480776477E0,9.768698215E-1,3.013161898E0,9.315856934E0
4.500886529E0,7.501499057E-1,3.081357241E0,9.121439934E0
4.520996582E0,4.719842672E-1,3.081955671E0,8.982057571E0
4.541106634E0,4.103690982E-1,2.962314367E0,9.131608963E0
4.561216686E0,3.134597540E-1,2.858824968E0,9.560523033E0
4.581326738E0,2.703889608E-1,2.805584431E0,9.795019150E0
4.601436790E0,2.955136001E-1,2.847458839E0,9.616754532E0
4.621546842E0,4.384847581E-1,2.895913601E0,9.329017639E0
4.641656894E0,5.641079545E-1,2.919841766E0,9.230911255E0
4.661766946E0,4.677968323E-1,2.958127022E0,9.282955170E0
4.681876946E0,3.517449200E-1,2.871387243E0,9.374481201E0
4.701987050E0,2.177468538E-1,2.845066071E0,9.440283775E0
4.722097050E0,1.758724600E-1,2.937788010E0,9.416355133E0
4.742207102E0,3.535395563E-1,2.916850805E0,9.305686951E0
4.762317154E0,4.426721931E-1,2.836092949E0,9.319445610E0
4.782427207E0,4.139583111E-1,2.769093990E0,9.536594391E0
4.802537259E0,3.876372576E-1,2.690729141E0,9.771091461E0
4.822647311E0,3.062812984E-1,2.663211584E0,9.799206734E0
4.842757363E0,3.487538993E-1,2.635694027E0,9.577870369E0
4.862867415E0,5.330012441E-1,2.612364054E0,9.550951958E0
4.882977467E0,6.669993401E-1,2.578266382E0,9.763913155E0
4.903087519E0,5.952146053E-1,2.674577475E0,9.613762856E0
4.923197571E0,6.448656917E-1,2.749951363E0,9.241679192E0
4.943307623E0,8.327022791E-1,2.771486759E0,9.198010445E0
4.963417675E0,8.757730722E-1,2.828914642E0,9.375677109E0
4.983527727E0,7.926225066E-1,2.830709219E0,9.519845009E0
