"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.728162256E0,1.366770733E-2,-2.290677279E-3,-3.474193811E-2
1.748272152E0,2.237228118E-2,-1.893626526E-2,-2.695363574E-2
1.768381996E0,2.863346599E-2,-3.359659761E-2,-3.031329438E-2
1.788491892E0,2.130329795E-2,-4.092676565E-2,-3.855973482E-2
1.808601736E0,7.711946499E-3,-3.665083647E-2,-3.672719002E-2
1.828711631E0,1.756185899E-3,-3.405473381E-2,-3.458922729E-2
1.848821475E0,1.320957206E-2,-2.596100792E-3,-3.016058356E-2
1.868931371E0,1.168245357E-2,-3.817795310E-3,-1.855448633E-2
1.889041215E0,-6.337540224E-3,-3.512371704E-2,-2.069245093E-2
1.909151111E0,3.894151188E-3,-8.704573847E-3,-1.214058883E-2
1.929260954E0,8.475505747E-3,9.926267900E-3,-1.259872504E-2
1.949370850E0,-2.863346599E-2,-3.283303976E-2,-1.901262067E-2
1.969480694E0,-6.803311408E-2,-7.177454978E-2,-2.634278871E-2
1.989590590E0,-6.788039953E-2,-2.932066843E-2,-2.634278871E-2
2.009700433E0,-4.863871261E-2,1.404948719E-2,-1.015533600E-2
2.029810329E0,-2.680092305E-2,1.313321572E-2,8.475505747E-3
2.049920173E0,-3.817795368E-4,8.704573847E-3,1.733279042E-2
2.070030069E0,2.710634656E-2,6.719320081E-3,1.458397787E-2
2.090139913E0,3.901786730E-2,2.122694254E-2,5.573981442E-3
2.110249756E0,2.481566928E-2,-3.054236295E-4,-2.672456671E-3
2.130359652E0,-1.061347127E-2,-2.061609551E-2,-6.872031372E-4
2.150469496E0,-2.848075330E-2,-1.007897966E-2,5.421269219E-3
2.170579392E0,-2.512109280E-2,5.039489828E-3,2.214321401E-3
2.190689236E0,-9.697199799E-3,5.955760833E-3,-9.926267667E-4
2.210799131E0,4.352286924E-3,1.801999472E-2,-2.061609412E-3
2.230908975E0,4.352286924E-3,3.222219273E-2,7.635590737E-5
2.251018871E0,-1.275143679E-2,2.916795574E-2,9.849912487E-3
2.271128715E0,-3.092414327E-2,2.825168520E-2,2.420482226E-2
2.291238611E0,-4.802786559E-2,1.588202827E-2,2.985516004E-2
2.311348454E0,-4.833329096E-2,-1.053711493E-2,2.939702384E-2
2.331458350E0,-1.473669056E-2,-1.817270555E-2,2.634278871E-2
2.351568194E0,3.122956678E-2,3.512371797E-3,2.909160033E-2
2.371678038E0,4.711159319E-2,2.886253223E-2,4.573718831E-2
2.391787933E0,3.107685409E-2,3.909422457E-2,6.146650389E-2
2.411897777E0,4.352286924E-3,2.596100792E-3,5.719057471E-2
2.432007673E0,-2.519744914E-3,-4.046862945E-2,4.772244394E-2
2.452117517E0,3.397838026E-2,-1.542389300E-2,4.848600179E-2
2.472227413E0,7.062921673E-2,0.000000000E0,5.795413256E-2
2.492337256E0,8.086090535E-2,-1.374406368E-2,7.673768699E-2
2.512447100E0,6.085565686E-2,-3.619270027E-2,8.101361990E-2
2.532556996E0,1.794363745E-2,-4.230117425E-2,5.337277800E-2
2.552666840E0,-1.427855436E-2,-2.199050039E-2,2.313583903E-2
2.572776736E0,-2.909160033E-2,9.468132630E-3,9.697199799E-3
2.592886579E0,-2.130329795E-2,5.192201585E-2,5.268557463E-3
2.612996475E0,6.948387716E-3,9.620844573E-2,1.091889478E-2
2.633106319E0,2.084516361E-2,7.681404054E-2,2.756448276E-2
2.653216163E0,-1.000262424E-2,1.221694518E-2,2.863346599E-2
2.673326058E0,-5.215108395E-2,-2.748812549E-3,2.756448276E-2
2.693435902E0,-7.490514219E-2,9.620844387E-3,3.092414327E-2
2.713545798E0,-7.124006003E-2,1.359135192E-2,3.581092134E-2
2.733655642E0,-2.634278871E-2,4.138490185E-2,4.726430774E-2
2.753765486E0,2.878617682E-2,7.253811508E-2,5.306735635E-2
2.773875381E0,3.779617324E-2,3.176405653E-2,5.245650932E-2
2.793985225E0,-3.436015919E-3,-1.634016447E-2,3.077143058E-2
2.814095121E0,-5.276193097E-2,-2.137965523E-3,-1.168245357E-2
2.834204965E0,-7.368344814E-2,4.062134400E-2,-4.619532451E-2
2.854314808E0,-7.826480269E-2,5.589252338E-2,-5.566345528E-2
2.874424704E0,-8.758022636E-2,4.138490185E-2,-4.802786559E-2
2.894534548E0,-1.017824262E-1,3.069507517E-2,-3.672719002E-2
2.914644392E0,-8.895463496E-2,4.504998401E-2,-2.191414498E-2
2.934754288E0,-4.619532451E-2,8.154810965E-2,-1.450762269E-3
2.954864131E0,-3.283303929E-3,6.734590977E-2,2.848075330E-2
2.974974027E0,2.084516361E-2,3.481829539E-2,4.802786559E-2
2.995083871E0,6.184828468E-3,4.825693369E-2,3.367295489E-2
3.015193715E0,-2.130329795E-2,7.406523079E-2,1.901262067E-2
3.035303611E0,-2.038702741E-2,8.735115826E-2,2.924431302E-2
3.055413454E0,-1.298050396E-3,8.032641560E-2,5.734328553E-2
3.075523298E0,1.000262424E-2,4.413371533E-2,7.795938104E-2
3.095633194E0,1.061347127E-2,2.183778957E-2,8.238802105E-2
3.115743038E0,1.756185899E-3,3.512371704E-2,7.215633243E-2
3.135852933E0,-3.428380191E-2,5.054761097E-2,5.673243850E-2
3.155962777E0,-7.475243509E-2,5.100574717E-2,5.688514933E-2
3.176072621E0,-1.007134393E-1,4.092676565E-2,5.581616983E-2
3.196182517E0,-9.903360903E-2,4.382828996E-2,4.695888236E-2
3.216292361E0,-1.164427623E-1,2.031067200E-2,2.619007602E-2
3.236402204E0,-1.587439328E-1,2.260134928E-2,-1.450762269E-3
3.256512100E0,-1.915769726E-1,3.649812192E-2,-2.649549954E-2
3.276621944E0,-1.952420622E-1,6.123743951E-2,-3.565821052E-2
3.296731788E0,-1.717244387E-1,8.032641560E-2,-2.970244735E-2
3.316841683E0,-1.475959718E-1,1.039967462E-1,-2.893888950E-2
3.336951527E0,-1.721825749E-1,1.562241912E-1,-5.688514933E-2
3.357061371E0,-3.067216873E-1,3.107685447E-1,-1.880646050E-1
3.377171267E0,-4.259895980E-1,4.260659516E-1,-3.447469175E-1
3.397281111E0,-2.874799967E-1,3.576510847E-1,-3.067216873E-1
3.417390954E0,1.305686031E-2,2.451024652E-1,-1.020878479E-1
3.437500850E0,2.265479714E-1,8.215895295E-2,8.360971510E-2
3.457610694E0,2.210503519E-1,-2.562504113E-1,1.002553031E-1
3.477720538E0,1.315612346E-1,-4.266768098E-1,5.169294775E-2
3.497830433E0,6.009209901E-2,-4.069769979E-1,4.657710437E-3
3.517940277E0,-3.550549597E-2,-3.009949923E-1,-2.313583903E-2
3.538050121E0,-1.227039397E-1,-1.493521482E-1,-1.603474026E-3
3.558160017E0,-3.122956678E-2,1.175880954E-1,8.544225991E-2
3.578269861E0,1.640888453E-1,2.803788781E-1,1.665322334E-1
3.598379704E0,1.926459521E-1,4.337015375E-2,1.784437597E-1
3.618489548E0,3.687990457E-2,-2.660239935E-1,1.466796994E-1
3.638599444E0,-1.167481840E-1,-3.213056624E-1,6.055023521E-2
3.658709288E0,-1.683647782E-1,-9.666658193E-2,-2.710634656E-2
3.678819131E0,-1.477486789E-1,1.437018216E-1,-1.336228382E-2
3.698929027E0,-1.268271655E-1,2.496838123E-1,9.781191498E-2
3.719038871E0,-1.092653051E-1,2.263189107E-1,2.131093442E-1
3.739148715E0,-3.581092134E-2,1.889045089E-1,2.544942498E-1
3.759258611E0,7.169819623E-2,1.559187621E-1,2.092915475E-1
3.779368454E0,1.246891990E-1,8.903098851E-2,1.527881771E-1
3.799478298E0,1.164427623E-1,6.490252167E-2,1.306449622E-1
3.819588142E0,1.315612346E-1,1.469087601E-1,1.453052908E-1
3.839698038E0,1.750840992E-1,2.189887464E-1,1.660740972E-1
3.859807881E0,2.080698460E-1,1.777565479E-1,1.865374744E-1
3.879917777E0,2.602972984E-1,1.102579311E-1,2.080698460E-1
3.900027621E0,3.168006539E-1,7.757759839E-2,2.143310308E-1
3.920137465E0,3.230618536E-1,4.153761268E-2,2.028776407E-1
3.940247308E0,2.633515298E-1,-4.993676394E-2,1.778329015E-1
3.960357204E0,1.269798726E-1,-2.018850148E-1,1.369061470E-1
3.980467048E0,-5.879404955E-3,-2.564031482E-1,1.071273386E-1
4.000576892E0,-1.855448633E-2,-1.036913246E-1,6.390989572E-2
4.020686736E0,4.787515476E-2,3.054236248E-2,1.382041909E-2
4.040796631E0,2.283041552E-2,-4.260659590E-2,-2.825168660E-3
4.060906475E0,-1.283542812E-1,-2.608317733E-1,-1.977618039E-2
4.081016319E0,-2.305184901E-1,-3.486410677E-1,-4.130854458E-2
4.101126215E0,-1.475959718E-1,-2.457133085E-1,-3.672719002E-2
4.121236058E0,6.650599837E-2,-1.047603041E-1,2.619007602E-2
4.141345902E0,1.237729266E-1,-1.939440072E-1,7.734853774E-2
4.161455746E0,-6.574243307E-2,-3.949127495E-1,7.444700599E-2
4.181565642E0,-3.777326643E-1,-4.708105326E-1,-4.634803534E-2
4.201675486E0,-7.118661404E-1,-4.078932703E-1,-2.395284772E-1
4.221785329E0,-9.177216291E-1,-1.774511337E-1,-3.641413152E-1
4.241895173E0,-8.783220053E-1,2.840439789E-2,-3.807868958E-1
4.262005069E0,-5.545729399E-1,1.739387512E-1,-2.894652486E-1
4.282114913E0,-1.391968131E-1,1.496575773E-1,-1.825669706E-1
4.302224756E0,1.303395331E-1,-9.315420873E-3,-1.375169903E-1
4.322334652E0,2.233410329E-1,-1.293469071E-1,-1.469851285E-1
4.342444496E0,2.453315258E-1,-1.059819981E-1,-1.622563004E-1
4.362554340E0,2.228828967E-1,-8.154810965E-2,-1.763057858E-1
4.382664183E0,1.758476496E-1,-9.559759498E-2,-1.921878159E-1
4.402774079E0,1.701973230E-1,-2.305948362E-2,-2.118876427E-1
4.422883923E0,1.883700192E-1,5.436540768E-2,-2.500655949E-1
4.442993767E0,2.213557810E-1,5.085303262E-2,-2.569376230E-1
4.463103611E0,2.888543904E-1,5.100574717E-2,-2.314347625E-1
4.483213506E0,3.331408203E-1,4.107947648E-2,-2.112767994E-1
4.503323350E0,3.479538560E-1,4.153761268E-2,-1.921878159E-1
4.523433194E0,3.048891425E-1,1.496575773E-2,-1.885227412E-1
4.543543038E0,1.961583197E-1,-2.657185495E-2,-1.784437597E-1
4.563652933E0,1.135412306E-1,-1.634016447E-2,-1.807344258E-1
4.583762777E0,5.352549255E-2,2.321219631E-2,-2.099023908E-1
4.603872621E0,2.405211143E-2,6.383354217E-2,-1.917296797E-1
4.623982465E0,2.970244735E-2,5.986303091E-2,-1.469851285E-1
4.644092308E0,-7.635590737E-5,-1.481304597E-2,-1.225512326E-1
4.664202204E0,-6.940752268E-2,-3.802524135E-2,-1.292705536E-1
4.684312048E0,-1.703500301E-1,4.504998401E-2,-1.837886721E-1
4.704421892E0,-2.686964273E-1,1.304158866E-1,-2.297549248E-1
4.724531736E0,-2.821350694E-1,1.627907902E-1,-2.308239043E-1
4.744641631E0,-1.880646050E-1,1.812689304E-1,-1.976854503E-1
4.764751475E0,-1.065164879E-1,1.296523362E-1,-1.427091956E-1
4.784861319E0,-7.017108053E-2,8.414421231E-2,-7.582141459E-2
4.804971163E0,-3.565821052E-2,7.696675509E-2,-4.451549426E-2
4.825081058E0,-1.809635013E-2,6.200099736E-2,-3.122956678E-2
4.845190902E0,-3.840702027E-2,-7.177455351E-3,-2.588465251E-2
4.865300746E0,-9.109259397E-2,-8.628217876E-2,-4.863871261E-2
4.885410590E0,-1.118614078E-1,-7.620319724E-2,-6.192464009E-2
4.905520486E0,2.290677221E-4,1.107160673E-1,-2.954973653E-2
4.925630329E0,9.078717232E-2,2.765611112E-1,6.436803192E-2
4.945740173E0,-3.428380191E-2,1.882936656E-1,1.732515544E-1
4.965850017E0,-3.239781260E-1,-2.870982140E-2,1.439308822E-1
4.985959861E0,-6.124507189E-1,-2.893888950E-1,-1.000262424E-2
5.006069756E0,-6.969003677E-1,-3.582619131E-1,-1.223985180E-1
5.026179600E0,-5.043307543E-1,-5.054761097E-2,-1.517191827E-1
5.046289444E0,-8.223531395E-2,4.679090083E-1,-6.650599837E-2
5.066399288E0,2.474694997E-1,7.495859265E-1,6.635328382E-2
5.086509183E0,2.535779774E-1,5.619794726E-1,1.660740972E-1
5.106619027E0,3.184041381E-2,9.849911928E-2,2.204395086E-1
5.126728871E0,-1.453052908E-1,-2.203631550E-1,2.352525443E-1
5.146838715E0,-7.185091078E-2,-1.443126649E-1,2.497601658E-1
5.166948558E0,1.407239437E-1,5.421269313E-2,2.723615170E-1
5.187058454E0,3.386384547E-1,1.887518018E-1,3.587964177E-1
5.207168298E0,3.995704651E-1,1.345391124E-1,4.160633385E-1
5.227278142E0,3.329881132E-1,-6.413896102E-3,4.085804522E-1
5.247387986E0,2.598391473E-1,-5.879404768E-2,3.424562514E-1
