"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.348307900E-2,1.620272398E-1,-1.539335102E-1,-6.192464009E-2
5.359250600E-2,-4.718795046E-2,-1.527118147E-4,-1.202605516E-1
7.370193300E-2,-1.605001241E-1,9.880454093E-2,-5.291464552E-2
9.381136100E-2,-1.817270666E-1,1.655396074E-1,-5.917582661E-2
1.139207880E-1,-1.348445266E-1,1.267508119E-1,-8.177717775E-2
1.340301630E-1,-4.260659590E-2,-3.206948051E-3,-8.406785131E-2
1.541395900E-1,6.780404598E-2,-5.925218388E-2,-8.742751181E-2
1.742490170E-1,1.200314835E-1,-1.404948719E-2,-9.216158092E-2
1.943584440E-1,7.085828483E-2,3.451287001E-2,-8.208259940E-2
2.144678710E-1,-3.237490356E-2,5.268557742E-2,-6.833853573E-2
2.345772980E-1,-1.168245375E-1,6.658235192E-2,-6.299362332E-2
2.546866730E-1,-1.539335102E-1,7.467607409E-2,-7.169819623E-2
2.747961000E-1,-1.542389393E-1,8.414421231E-2,-8.544225991E-2
2.949055270E-1,-1.317902952E-1,1.027750522E-1,-8.009734750E-2
3.150149540E-1,-8.948912472E-2,1.186570823E-1,-5.260922015E-2
3.351243810E-1,-3.878879920E-2,8.597674966E-2,-1.962346770E-2
3.552337560E-1,-4.428642802E-3,5.787777901E-2,5.573981442E-3
3.753431830E-1,1.511846948E-2,8.918370306E-2,3.458922729E-2
3.954526110E-1,2.565558441E-2,1.324011385E-1,5.047125369E-2
4.155620380E-1,2.489202656E-2,1.734806150E-1,3.687990457E-2
4.356714650E-1,2.397575416E-2,1.911951900E-1,3.428380191E-2
4.557808400E-1,2.596100792E-2,1.317902952E-1,5.108210072E-2
4.758902670E-1,2.076880634E-2,-7.635590620E-3,6.497887522E-2
4.959996940E-1,2.901524492E-2,-9.116895497E-2,8.101361990E-2
5.161091210E-1,5.604523420E-2,-1.130067464E-2,7.627955079E-2
5.362184960E-1,6.658235192E-2,1.363716573E-1,3.596363217E-2
5.563279230E-1,2.351761982E-2,1.980672181E-1,-1.641651988E-2
5.764373500E-1,-5.451811850E-2,1.203369126E-1,-5.764871091E-2
5.965467770E-1,-1.082726792E-1,3.206948051E-3,-7.154548168E-2
6.166562040E-1,-9.666658193E-2,-3.939964995E-2,-6.620056927E-2
6.367655790E-1,-4.520269856E-2,2.351761982E-2,-4.588989913E-2
6.568750060E-1,-1.527118124E-2,8.903098851E-2,-1.947075687E-2
6.769844330E-1,-2.046338283E-2,9.483403713E-2,4.504998680E-3
6.970938610E-1,-3.771981969E-2,3.741439432E-2,4.352286924E-3
7.172032360E-1,-2.107422985E-2,1.817270555E-2,6.184828468E-3
7.373126630E-1,2.932066843E-2,4.566083103E-2,2.359397523E-2
7.574220900E-1,6.734590977E-2,8.353336155E-2,4.680617154E-2
7.775315170E-1,6.765133142E-2,6.795676053E-2,6.436803192E-2
7.976408920E-1,5.696150661E-2,2.870982140E-2,7.902836055E-2
8.177503190E-1,6.917845458E-2,1.374406274E-3,9.063446522E-2
8.378597460E-1,8.521319181E-2,-3.008422814E-2,7.307260484E-2
8.579691730E-1,7.879929990E-2,-5.711421743E-2,3.886515647E-2
8.780785480E-1,4.596625641E-2,-3.833066672E-2,1.443126611E-2
8.981879750E-1,1.389677543E-2,5.497625098E-3,3.283303929E-3
9.182974020E-1,7.635590737E-4,2.550287358E-2,-2.214321401E-3
9.384067770E-1,1.221694518E-2,2.519745007E-2,6.872031372E-4
9.585162040E-1,2.000524849E-2,3.405473381E-2,-5.726693198E-3
9.786256310E-1,6.566607859E-3,2.336490713E-2,-9.849912487E-3
9.987350580E-1,-2.214321308E-2,-2.443389036E-3,-5.879404955E-3
1.018844433E0,-4.535540938E-2,2.168507688E-2,-6.872031372E-4
1.038953861E0,-4.275930673E-2,5.986303091E-2,9.391776286E-3
1.059063288E0,-3.130592033E-2,5.635065958E-2,1.748550311E-2
1.079172663E0,-1.634016447E-2,3.863608837E-2,2.359397523E-2
1.099282090E0,4.581354558E-3,2.809897438E-2,2.557922900E-2
1.119391517E0,2.214321308E-2,2.458660305E-2,2.252499200E-2
1.139500944E0,2.015795931E-2,3.542914242E-2,1.656923257E-2
1.159610319E0,-1.389677543E-2,4.123219103E-2,8.170082234E-3
1.179719746E0,-4.566083103E-2,2.107422985E-2,2.237228118E-2
1.199829173E0,-5.528167635E-2,-1.679829881E-2,3.565821052E-2
1.219938548E0,-2.702999115E-2,-1.969982497E-2,4.604261369E-2
1.240047975E0,1.267508045E-2,-9.315420873E-3,5.169294775E-2
1.260157402E0,3.130592033E-2,-1.924168877E-2,4.726430774E-2
1.280266777E0,1.786728203E-2,-3.909422457E-2,3.932329267E-2
