"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434974.304,"2025-08-17 18:19:34.304 UTC+05:30"
"PAUSE",1.654879687E1,1755434990.853,"2025-08-17 18:19:50.853 UTC+05:30"
