"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434651.574,"2025-08-17 18:14:11.574 UTC+05:30"
"PAUSE",1.906916338E1,1755434670.643,"2025-08-17 18:14:30.643 UTC+05:30"
