"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433457.248,"2025-08-17 17:54:17.248 UTC+05:30"
"PAUSE",3.139533004E1,1755433488.643,"2025-08-17 17:54:48.643 UTC+05:30"
