"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433702.708,"2025-08-17 17:58:22.708 UTC+05:30"
"PAUSE",2.882407457E1,1755433731.532,"2025-08-17 17:58:51.532 UTC+05:30"
