"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434809.253,"2025-08-17 18:16:49.253 UTC+05:30"
"PAUSE",2.107545239E1,1755434830.328,"2025-08-17 18:17:10.328 UTC+05:30"
