"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433041.214,"2025-08-17 17:47:21.214 UTC+05:30"
"PAUSE",1.677124874E1,1755433057.985,"2025-08-17 17:47:37.985 UTC+05:30"
