"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433509.700,"2025-08-17 17:55:09.700 UTC+05:30"
"PAUSE",3.430177395E1,1755433544.002,"2025-08-17 17:55:44.002 UTC+05:30"
