"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.160700200E-2,-1.082777739E0,5.059546947E0,7.735067368E0
3.151184500E-2,-1.518522382E0,5.179256916E0,7.869142532E0
5.141668900E-2,-1.623867273E0,5.275024891E0,7.782951355E0
7.132153300E-2,-1.283890605E0,5.217564106E0,7.802104950E0
9.122637700E-2,-1.049258947E0,5.145738125E0,7.821258545E0
1.111312200E-1,-8.720879555E-1,5.059546947E0,8.046313286E0
1.310360640E-1,-9.151836038E-1,5.246294498E0,7.931391716E0
1.509409080E-1,-9.774328470E-1,5.437830448E0,7.557896137E0
1.708457520E-1,-8.672995567E-1,5.409100056E0,7.586626530E0
1.907505950E-1,-7.140706778E-1,5.409100056E0,7.811681747E0
2.106554390E-1,-5.273229480E-1,5.495291233E0,7.955333710E0
2.305602830E-1,-5.273229480E-1,5.725134850E0,7.711124897E0
2.504651270E-1,-8.002619147E-1,5.878363609E0,7.342418194E0
2.703699700E-1,-7.428010702E-1,5.629366875E0,7.371148586E0
2.902748140E-1,-6.326677799E-1,5.222352505E0,7.730278969E0
3.101796580E-1,-5.752069354E-1,4.805761337E0,7.945756912E0
3.300845020E-1,-5.847837925E-1,4.700416565E0,7.950545311E0
3.499893450E-1,-8.433575630E-1,4.724358559E0,8.031948090E0
3.698941890E-1,-9.678560495E-1,4.671686172E0,7.926603317E0
3.897990330E-1,-8.672995567E-1,4.609436989E0,7.778162956E0
4.097038770E-1,-9.774328470E-1,4.604648590E0,7.811681747E0
4.296087200E-1,-1.298255920E0,4.633378983E0,7.763797760E0
4.495135640E-1,-1.518522382E0,4.422688961E0,7.658452511E0
4.694184080E-1,-1.374870300E0,4.077924252E0,7.452551365E0
4.893232520E-1,-8.625111580E-1,4.053982258E0,6.834847450E0
5.092280950E-1,-4.842272997E-1,4.365228176E0,6.063914299E0
5.291329390E-1,-5.608417392E-1,4.796184540E0,5.575497150E0
5.490377830E-1,-8.577227592E-1,5.016450882E0,5.929839134E0
5.689426270E-1,-1.010951638E0,5.093065739E0,6.873154640E0
5.888471350E-1,-1.259948611E0,5.490502834E0,7.088632584E0
6.087522390E-1,-1.762730956E0,5.959766388E0,6.456563473E0
6.286570830E-1,-1.858499050E0,5.902305603E0,6.202777863E0
6.485619270E-1,-1.288679123E0,5.528810501E0,6.892308235E0
6.684667700E-1,-8.385691643E-1,5.581482887E0,7.768586159E0
6.883716140E-1,-6.470330358E-1,6.438606739E0,8.003217697E0
7.082764580E-1,-1.188122630E0,7.214328289E0,7.883507729E0
7.281813020E-1,-2.500145197E0,7.468113422E0,8.625710487E0
7.480861450E-1,-4.142567635E0,6.654085159E0,9.865906715E0
7.679909890E-1,-4.501697540E0,5.591059685E0,1.081401062E1
7.878958330E-1,-3.299808502E0,5.136161327E0,1.079485703E1
8.078006770E-1,-2.227206230E0,5.643732071E0,9.166799545E0
8.277055200E-1,-2.921524525E0,6.194398403E0,7.902661324E0
8.476103640E-1,-3.582324266E0,6.007650852E0,8.467693329E0
8.675152080E-1,-2.916736126E0,5.088277340E0,9.564237595E0
8.874200520E-1,-1.935113549E0,4.331709385E0,9.885060310E0
9.073248950E-1,-1.207276225E0,4.374804974E0,9.200318336E0
9.272297390E-1,-7.763199210E-1,4.695628166E0,8.180388451E0
9.471345830E-1,-3.357867897E-1,4.968566895E0,7.074267387E0
9.670394270E-1,-3.411737457E-2,5.097854137E0,5.987299919E0
9.869442700E-1,2.053027898E-1,4.891952515E0,5.158905983E0
1.006849114E0,2.914940715E-1,4.341286182E0,5.034407616E0
1.026753958E0,1.717839688E-1,3.694851875E0,5.982511520E0
1.046658802E0,1.813607812E-1,3.225588322E0,6.849212646E0
1.066563645E0,5.021837950E-1,3.081936121E0,7.270592213E0
1.086468489E0,8.804676533E-1,3.642179251E0,7.510012150E0
1.106373333E0,9.570821524E-1,4.168903828E0,7.102997780E0
1.126278177E0,2.244564146E-1,4.824914932E0,6.672041416E0
1.146183020E0,-8.625111580E-1,5.509656429E0,6.940192223E0
1.166087864E0,-9.870096445E-1,5.753865242E0,8.075043678E0
1.185992708E0,-4.507084787E-1,5.978919983E0,9.085396767E0
1.205897552E0,-9.391255975E-1,6.409876347E0,9.066243172E0
1.225802395E0,-1.834557056E0,6.716334343E0,8.774150848E0
