"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.803590600E-2,-1.673547029E0,3.213018656E0,8.401253700E0
3.811432900E-2,-2.607285738E0,3.481169224E0,9.792284966E0
5.818306000E-2,-1.848323703E0,2.961627483E0,9.445125580E0
7.828094500E-2,-1.783680320E0,2.638410330E0,9.538499832E0
9.837325200E-2,-1.807622313E0,2.710236311E0,9.710882187E0
1.184535980E-1,-1.369483352E0,2.937685490E0,8.841787338E0
1.385345210E-1,-1.089361787E0,3.004723072E0,7.872135162E0
1.586290600E-1,-2.896983922E-1,2.784456491E0,7.486668587E0
1.787189060E-1,-3.351882473E-2,2.856282711E0,7.441178799E0
1.988048670E-1,4.070143029E-2,2.762908697E0,7.747636795E0
2.188877520E-1,-4.094084799E-1,2.585737944E0,8.659827232E0
2.389727130E-1,-1.484405100E-1,2.851494312E0,8.949525833E0
2.590537130E-1,-8.092401624E-1,2.870647907E0,8.348581314E0
2.791707900E-1,-7.374141216E-1,2.928108692E0,8.279149055E0
2.992509050E-1,-1.163581967E0,2.712630510E0,7.898471355E0
3.193322510E-1,-5.793967843E-1,2.240972757E0,8.851364136E0
3.394232130E-1,1.197100878E-1,1.647210717E0,8.652645111E0
3.594984440E-1,1.446097851E0,1.149216771E0,7.970297337E0
3.795745200E-1,2.054224968E0,5.722141862E-1,7.876923561E0
3.996544430E-1,2.425326347E0,2.537853718E-1,8.413225174E0
4.197384430E-1,1.625662923E0,6.775590777E-1,8.307879448E0
4.398230970E-1,4.955997467E-1,1.742978811E0,8.329427719E0
4.599041350E-1,-7.422025502E-2,2.600103140E0,9.813833237E0
4.799739430E-1,-2.466027737E-1,2.377442360E0,1.055124664E1
5.000623660E-1,-1.345541358E0,4.240131378E0,1.113782597E1
5.201284810E-1,-8.858546019E-1,4.747702122E0,7.050923824E0
5.401924040E-1,-5.506663769E-2,4.125209332E0,5.949591160E0
5.602559430E-1,1.173158810E-1,3.756502390E0,7.977479935E0
5.803196350E-1,-4.620809257E-1,3.643975019E0,8.997409821E0
6.003991350E-1,7.637503147E-1,3.471592426E0,9.380482674E0
6.204722500E-1,5.171475410E-1,3.555389643E0,1.328781986E1
6.405432120E-1,1.149216816E-1,3.227383852E0,1.594059467E1
6.606123650E-1,-2.633621916E-2,1.587355733E0,1.522712326E1
6.806829420E-1,1.819593310E-1,8.188169599E-1,1.342189503E1
7.007513270E-1,-1.142034173E0,1.556231141E0,1.170764637E1
7.208245960E-1,-2.059013367E0,2.365471363E0,1.018972206E1
7.409055570E-1,-2.142810583E0,2.545036316E0,8.422801971E0
7.609734800E-1,-1.958456993E0,3.122039080E0,8.197746277E0
7.810530570E-1,-5.865794420E-1,3.773261786E0,8.339004517E0
8.011395190E-1,5.386953950E-1,3.500322819E0,8.101978302E0
8.212179030E-1,3.256114423E-1,3.143586874E0,7.426813602E0
8.413422110E-1,5.027823523E-2,2.887407303E0,6.873753071E0
8.614089030E-1,2.944868207E-1,2.841917515E0,6.919242859E0
8.814809800E-1,2.489969730E-1,2.978386879E0,7.850587368E0
9.015725950E-1,9.816227108E-2,2.523488522E0,9.153033257E0
9.216819410E-1,-6.464344263E-2,2.171540976E0,9.050082207E0
