Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
3.213282715,0.598205686,3.386442184,9.492925644,0.09743014,0.070858285,0.009391776
3.233392142,0.496510685,3.37986207,9.289535522,0.08765658,0.098040983,-0.00129805
3.253501517,0.408574462,3.43609333,9.177073479,0.054212693,0.082769804,-0.004810422
3.273610944,0.443868607,3.471387386,9.233902931,0.024892027,0.051769305,0.002214321
3.293720319,0.510867655,3.474378586,9.305088997,0.025350161,0.0503949,-0.007559235
3.313829694,0.409770876,3.549154282,9.272188187,0.049784053,0.071010992,-0.020234315
3.333939121,0.302692056,3.609572887,9.054440498,0.072996244,0.075592346,-0.014889402
3.354048496,0.250049979,3.702294827,8.733802795,0.068873025,0.072538115,-0.002367033
3.374157923,0.217148662,3.859622955,8.593822479,0.029626092,0.065513365,0.007253811
3.394267298,0.296111792,3.868596077,8.621339798,-0.020616096,0.04214846,0.009086353
3.414376673,0.375673145,3.888935089,8.697312355,-0.043217443,0.059557609,-0.004810422
3.4344861,0.306281298,3.924229145,8.778069496,-0.048256934,0.080020994,-0.032909397
3.454595475,0.162113741,3.955934048,8.732605934,-0.028557109,0.105371155,-0.026953636
3.47470485,0.12023934,3.983451605,8.583054543,-0.009620844,0.110105217,-0.013820419
3.494814277,0.169890404,3.973880291,8.567501068,-0.014354911,0.051005747,-0.001908898
3.514923652,0.379262388,3.942773581,8.751151085,-0.026419144,0.001985254,0.008322794
3.535033079,0.36311084,4.080360889,8.860024452,-0.009926268,0.07070557,0.011682454
3.555142454,0.277567416,4.184448719,8.72064209,0.036650836,0.122016743,0.013362284
3.575251829,0.23629123,4.203591347,8.482556343,0.054670829,0.108883523,-0.003283304
3.595361256,0.171685025,4.274179459,8.444869041,0.019088976,0.0503949,0.002825169
3.615470631,0.230907381,4.299304008,8.642276764,-0.047340661,0.026113721,0.003436016
3.635580006,0.205184549,4.146761417,9.047262192,-0.105981998,0.040163208,-0.01885991
3.655689433,0.0526421,3.89730978,9.540184021,-0.132859275,0.094681323,-0.029549737
3.675798808,-0.36011982,3.787838221,10.03789139,-0.120184198,0.185392141,0.004810422
3.695908183,-1.087537885,4.114458561,10.28913784,-0.025808297,0.243728057,0.13858597
3.716017611,-1.371685624,4.808377266,9.916455269,0.109799795,0.27610296,0.324130833
3.736126986,-0.60777694,5.145765305,9.461220741,0.095139459,0.081242688,0.38368842
3.756236361,1.292722464,4.613960266,10.02532864,-0.128277928,-0.381168693,0.210818663
3.776345788,2.281556368,3.527020693,11.608181,-0.390331388,-0.684148908,-0.112014115
3.796455163,1.436890006,2.745764017,12.82792187,-0.402548343,-0.451874256,-0.272361517
3.81656459,-0.037088752,2.231905222,12.46899891,-0.023212196,0.18233791,-0.155842409
3.836673965,-0.935593665,2.202593327,10.57866859,0.479973227,0.67254281,0.073225312
3.85678334,-1.284347534,2.817548752,8.711071014,0.753785491,0.649330616,0.242277294
3.876892767,-1.194616675,3.509672642,7.491927624,0.714385867,0.251669079,0.294657439
3.897002142,-0.79621172,3.792623997,7.278966427,0.492648304,-0.188751802,0.190813407
3.917111517,-0.495912492,3.580260992,7.96690321,0.234870777,-0.421790034,0.000534491
3.937220944,-0.580259502,3.118446112,8.869595528,0.042453885,-0.357498348,-0.098575473
3.957330319,-0.963709295,2.830709219,9.512666702,-0.061695572,-0.120795049,-0.061771929
3.977439694,-1.131805062,2.715853691,9.830911636,-0.075286925,0.032374904,0.045431767
3.997549121,-0.90329057,2.776870728,9.890133858,-0.031458635,0.075745061,0.128201574
4.017658496,-0.538983285,2.89830637,9.711270332,0.034360159,0.099415392,0.150955632
4.037767871,-0.414556533,2.991028309,9.25783062,0.083075225,0.179589093,0.138738677
4.057877298,-0.564706147,3.159124136,8.672785759,0.085365906,0.244033486,0.136600718
4.077986673,-0.689132929,3.294916868,8.251050949,0.052227441,0.233496368,0.15003936
4.098096048,-0.783051193,3.421736479,8.097311974,0.01007898,0.138509616,0.168670192
4.118205423,-0.781256616,3.558127165,8.081160545,-0.010537115,0.005192202,0.187759176
4.13831485,-0.574277461,3.611965895,8.138587952,-0.031764057,-0.076355904,0.187148333
4.158424225,-0.282353073,3.638885021,8.358727455,-0.091932513,-0.161110967,0.162103593
4.1785336,-0.005982057,3.626322746,8.694919586,-0.1653869,-0.167524859,0.127743438
4.198643027,-0.037686955,3.650250912,8.936594009,-0.207535356,-0.087503873,0.102698699
4.218752402,-0.163908348,3.693919897,8.933603287,-0.182032481,0.025044737,0.104225814
4.238861777,-0.203389928,3.779463291,8.739784241,-0.129652336,0.055892523,0.10743276
4.258971204,-0.132203445,3.955934048,8.581858635,-0.103844032,-0.000152712,0.099491745
4.279080579,0.024526432,4.067200184,8.549555779,-0.11163234,-0.065055236,0.057648711
