Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
4.624248192,0.775274515,4.661816597,8.08295536,0.016798299,0.038254309,-0.135760799
4.644357931,0.538385093,4.667798996,8.206783295,0.014660334,-0.004810422,-0.165081471
4.664467723,0.257826626,4.765904427,8.507082939,-0.030084228,-0.070934638,-0.145534366
4.684577515,0.345762879,4.738387108,9.240483284,-0.076661333,-0.174320534,-0.106440134
4.704687254,0.620937467,4.500899315,10.22273636,-0.062306419,-0.270376265,-0.083838783
4.724797046,0.660419047,4.530211449,10.9058876,0.053907271,-0.225020856,-0.076508619
4.744906838,0.538385093,4.609174728,10.74915791,0.192111462,-0.024968382,-0.080784552
4.765016577,0.106480606,4.583451748,10.12283611,0.202343151,0.189286292,-0.072385401
4.785126369,-0.377467781,4.621737003,9.93918705,0.110105217,0.372082323,0.006872032
4.805236161,-0.891326428,4.863411903,9.962516785,0.06139015,0.631234288,0.116213694
4.8253459,-1.240678549,5.106881618,10.04088211,0.038330667,0.602524459,0.200357899
4.845455692,-0.84406817,4.802394867,10.57567787,-0.011453386,0.156911388,0.249225676
4.865565484,0.128614217,3.811168194,11.5836544,0.05971032,-0.146068856,0.268467367
4.885675223,0.473180682,3.148356438,11.93839073,0.309088707,-0.038254309,0.233038232
4.905785015,-0.266799718,3.122633457,10.98784161,0.563506603,0.173556984,0.188904509
4.925894806,-1.067797065,3.172882795,9.692726135,0.624591351,0.117969878,0.224180937
4.946004546,-1.115653515,3.097508907,9.345767021,0.503032744,-0.148512244,0.304201931
4.966114338,-0.653240562,2.89830637,9.984052658,0.378419876,-0.375136584,0.347572088
4.986224077,-0.065802626,2.611167669,10.71266651,0.375976473,-0.45088163,0.318404138
5.006333869,0.077168532,2.519642353,10.78923702,0.449889004,-0.320160329,0.259762794
5.026443661,-0.257228434,2.564507723,10.01276588,0.547624588,-0.058412269,0.266940266
5.046553452,-0.362512618,2.672782898,8.280363083,0.563201189,0.153246313,0.295955509
5.066663192,-0.164506555,2.869592667,6.865606308,0.370631576,0.15080291,0.285723805
5.086772984,-0.001794617,3.017349243,6.61555624,0.066582352,0.09964446,0.260679066
5.106882775,-0.222532511,3.126222849,7.179664135,-0.098957255,0.157674953,0.230442122
5.126992515,-0.55154562,3.200998545,7.528418064,-0.05803049,0.215552732,0.229525864
5.147102306,-0.501894534,3.310470104,7.168896675,0.035734564,0.166379526,0.257166684
5.167212098,-0.293120772,3.442075491,6.771687984,0.025502874,0.046958882,0.27350685
5.187321838,0.011365907,3.802195072,6.867999077,-0.077730313,-0.071087353,0.275797546
5.207431629,0.221336097,4.10608387,7.336992264,-0.165081471,-0.086511239,0.230747551
5.227541421,0.327816695,4.197010994,7.825726509,-0.186155707,-0.069407523,0.163096219
5.247651161,0.309870541,4.221537113,8.225327492,-0.163859785,-0.072309047,0.107661828
5.267760952,0.297906429,4.2574296,8.663214684,-0.128277928,-0.098575473,0.074370652
5.287870744,0.285344094,4.363910198,9.229715347,-0.060015742,-0.153093591,0.064902522
5.307980484,0.436690122,4.483551502,9.345169067,0.065971501,-0.12972869,0.054212693
5.328090275,0.498903513,4.771886349,8.867202759,0.162332654,-0.044668205,0.015423893
5.348200067,0.514456868,4.998008251,8.50469017,0.136829794,-0.076584972,-0.027029991
5.368309806,0.673579574,4.995017052,8.833105087,0.050089475,-0.213414758,-0.06627693
5.388419598,0.834496915,4.891527653,9.456435204,0.032374904,-0.245026112,-0.109952509
5.40852939,0.7399804,4.814957142,9.858428955,0.11163234,-0.176458508,-0.144770801
5.428639181,0.644267499,4.826921463,9.664012909,0.232885525,-0.059633963,-0.152253673
5.448748921,0.331405938,5.013561726,8.690732002,0.261442632,0.057496,-0.192569599
5.468858713,-0.468395025,5.834897995,7.760521889,0.079104722,0.108043611,-0.208604336
5.488968504,0.081355967,5.748756409,8.069195747,-0.372311413,-0.22456272,-0.215781793
5.509078244,2.069193363,3.864408493,10.52602673,-0.861294627,-0.551518738,-0.252890766
5.529188036,2.134397745,2.986840963,13.27478218,-0.803264141,0.245026112,-0.262817025
5.549297827,0.487537623,3.586242914,12.98405361,-0.234565347,1.198100567,-0.317335159
5.569407567,-0.529412031,3.718446493,10.85264683,0.107661828,0.961549938,-0.33810395
5.589517359,-0.328414917,3.241676569,9.841081619,0.002901525,0.098422766,-0.308630586
