Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
4.80281094,0.589830756,4.904688358,8.452646255,-0.179436386,0.154009864,0.018019995
4.82292068,0.260219455,4.875974178,9.506086349,-0.251821786,0.142098337,-0.000152712
4.843030419,0.253040999,4.844269276,10.85384369,-0.209062472,0.132630214,0.045660831
4.863140159,0.226719946,5.123033047,11.33659554,0.005344913,0.175236806,0.098193698
4.883249898,0.103489578,5.69611454,10.40578747,0.276561111,0.193104088,0.11942064
4.903359638,0.069391854,6.16869688,8.908478737,0.361468852,0.100255303,0.098499119
4.923469377,0.36011982,6.098706722,8.542376518,0.176992998,-0.052456509,0.053601846
4.943579117,0.77108711,5.395216942,9.811769485,-0.051158458,-0.071850911,-0.014813046
4.963688857,0.54317075,4.838885784,11.05125141,-0.070400149,0.115068354,-0.063833542
4.983798596,-0.174077854,4.639084816,11.21755219,0.089030989,0.298475236,-0.040774055
5.003908336,-1.356730461,5.338985443,10.56490993,0.241131961,0.385368258,0.035581853
5.024018075,-1.796411633,5.626124382,10.31605625,0.182032481,0.021761434,0.132859275
5.044127815,-0.598803878,4.149752617,11.8223381,-0.092543356,-0.492877394,0.206466377
5.064237555,1.458425403,2.036890268,14.94377518,-0.275797546,-0.74836427,0.204633832
5.084347294,2.011765718,1.120439172,16.3017025,-0.089947261,-0.278317273,0.009162709
5.104457034,0.184247345,1.060020447,14.47059536,0.262969732,0.346579462,-0.210284174
5.124566721,-1.790429592,1.07497561,11.46820068,0.40529716,0.641771376,-0.216698065
5.144676513,-2.657229662,0.857826889,9.903892517,0.220515862,0.460960627,0.017409148
5.1647862,-1.923829436,1.174875975,10.2783699,0.035734564,0.08101362,0.333369881
5.18489594,-0.836889744,1.92203474,10.10429192,0.173480615,-0.137058854,0.470199674
5.20500568,-0.129810631,2.264806747,8.452047348,0.368646324,-0.238459498,0.427898496
5.225115419,0.319441825,2.199003935,6.790830612,0.346808523,-0.267322034,0.305118203
5.245225159,0.384646237,1.954936147,5.839683533,0.150421143,-0.127743438,0.153017238
5.265334898,0.016151553,1.602592945,5.964110374,-0.123238437,0.131713942,0.043370154
5.285444638,-0.518046081,1.432702541,7.092326164,-0.24800399,0.364294022,0.041232191
5.305554377,-0.892522872,1.578066587,7.657630444,-0.053754561,0.408427745,0.121405892
5.325664117,-1.016351461,1.945963025,7.047461033,0.276408374,0.234794408,0.237161443
5.345773857,-0.620937467,2.499303341,6.063412666,0.468214423,-0.045126341,0.338714808
5.365883596,-0.003589234,3.080160856,5.671587944,0.436755776,-0.23158747,0.335965991
5.385993336,0.372682124,3.303889751,6.20817852,0.260220945,-0.274652213,0.245713309
5.406103075,0.367896467,3.580260992,7.351947784,0.094986752,-0.171724439,0.164623335
5.426212815,0.060418773,4.180859566,8.353941917,0.073148958,-0.013973131,0.120031484
5.446322555,0.081954174,4.762315273,8.199007034,0.180810794,0.024662958,0.095903017
5.466432294,0.288335115,5.049454212,7.61755085,0.164317906,-0.136753425,0.029778805
5.486542034,0.621535659,5.152345181,8.09671402,-0.037108973,-0.311913878,-0.051922016
5.506651773,0.728016317,5.244469166,9.333803177,-0.256403148,-0.293741167,-0.156376898
5.526761513,0.555134833,4.999204636,10.55234814,-0.339478374,-0.095063105,-0.238993987
5.546871252,0.33499518,4.415356159,11.36650562,-0.266482115,0.003130592,-0.250294656
5.566980992,0.733998358,3.762115479,11.65424252,-0.054518119,-0.091398023,-0.172411636
5.587090732,1.777269006,2.881556749,11.54178047,0.208451629,-0.205626458,-0.106898271
5.607200471,1.897508383,2.557329178,11.45384407,0.48501271,-0.100560732,-0.126139954
5.627310211,0.802193821,3.623331785,10.39980507,0.721868753,0.114915639,-0.166303173
