Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
4.62249142,0.383449823,3.77049017,8.868398666,-0.066124216,-0.034436513,0.042759307
4.64260116,0.564706147,3.701098442,8.997611046,-0.088420138,0.0290916,0.003054236
4.662710899,0.454636306,3.739383698,8.920442581,-0.095139459,0.122398518,-0.036650836
4.682820639,0.137587309,3.818346739,8.687142372,-0.088114716,0.155231565,-0.056961507
4.702930378,-0.215952247,3.966701746,8.492127419,-0.092696071,0.11552649,-0.049478628
4.723040118,-0.488135815,4.244867325,8.534002304,-0.090863533,0.03672719,-0.011911522
4.743149858,-0.372083932,4.356731892,8.654839516,-0.095139459,-0.054747187,0.039705072
4.763259597,0.092721879,4.381258488,8.780462265,-0.122933008,-0.062840909,0.056808796
4.783369337,0.451047063,4.478765965,8.884550095,-0.168593839,0.012140589,0.016798299
4.803479076,0.547358155,4.405186653,8.906085968,-0.217461631,0.078264803,-0.050089475
4.823588816,0.372682124,4.269393921,9.075976372,-0.249378398,0.115373775,-0.095139459
4.843698556,0.029910283,4.277170658,9.116654396,-0.229220435,0.143930882,-0.08933641
4.863808295,-0.284745902,4.40937376,8.719446182,-0.204328403,0.16149275,-0.036956258
4.883918035,-0.254835606,4.52482748,8.341978073,-0.232121959,0.13415733,0.026571855
4.904027774,-0.071186475,4.653441906,8.325227737,-0.269689053,0.135073602,0.055587102
4.924137514,-0.157328084,4.798805714,8.313861847,-0.279615343,0.159812912,0.054212693
4.944247253,-0.348753899,4.813760757,8.405985832,-0.281906009,0.156911388,0.068720318
4.964356993,-0.530608416,4.763511658,8.47956562,-0.222042978,0.152024612,0.108272679
4.984466733,-0.594018221,4.725824833,8.155936241,-0.176382139,0.086053111,0.156682327
5.004576472,-0.481555551,4.706083775,7.915457249,-0.200357899,0.047569729,0.208451629
5.024686264,-0.190827608,4.692325115,8.173283577,-0.217156202,0.019928891,0.239604831
5.044796003,0.095114701,4.709074974,8.34556675,-0.188751802,0.025121093,0.225249931
5.064905743,0.187238365,4.685744762,8.288737297,-0.16981554,0.078570232,0.201885015
5.085015483,0.189032987,4.712664127,8.298309326,-0.166914016,0.105294794,0.177298412
5.105125222,0.210568398,4.687539577,8.451449394,-0.141105712,0.090481751,0.151642829
5.125234962,0.206979156,4.564907551,8.663214684,-0.101706065,0.071545482,0.130874023
5.145344701,0.281754881,4.467998028,8.915657043,-0.039705072,0.082846157,0.121558607
5.165454441,0.381655216,4.46321249,8.994022369,0.03939965,0.120413266,0.10796725
5.185564181,0.273379982,4.682155609,8.9479599,0.080173701,0.14637427,0.089641832
5.20567392,0.202791721,4.869992256,9.280562401,0.103385896,0.113235809,0.085824043
5.22578366,0.202193514,5.124229908,9.788438797,0.114075728,-0.006490252,0.080326416
5.245893399,0.267996132,5.65304327,10.51226807,0.130110472,-0.025731942,0.054976255
5.266003139,0.19262223,6.054439545,10.59721375,0.21150586,0.049096849,-0.002596101
5.286112878,0.154337063,6.210571289,9.898509026,0.190278918,0.090023614,-0.052838288
5.306222618,0.181256309,6.321837425,9.741779327,0.030695075,0.08101362,-0.081853531
5.326332358,0.263210505,6.149554253,10.46201897,-0.10796725,0.098117344,-0.089030989
5.346442097,0.445065022,5.690132141,11.24746323,-0.166608587,0.200434253,-0.077424891
5.366551837,0.460020155,5.239683151,11.93181038,-0.105065726,0.413467228,-0.05482354
5.386661576,-0.136989102,5.105685234,11.83549881,0.079868279,0.606036842,-0.004734066
5.406771316,-1.069591761,5.624927998,10.67856884,0.21150586,0.636273801,0.084296919
5.426881108,-1.165902853,5.292325497,10.45065308,0.132401139,0.339554727,0.161874518
5.446990795,-0.491725057,3.81296277,12.32602787,0.15500249,0.006184828,0.233801782
5.467100587,-0.101694964,2.891726255,13.31246853,0.496771544,-0.063146338,0.279309899
5.487210326,-0.719043195,3.276970625,11.60519028,0.790436328,-0.014431266,0.258541107
5.507320066,-1.448255897,3.369094372,10.05703354,0.666739762,-0.242888138,0.234718055
5.527429806,-1.100698471,2.385644197,11.31266689,0.336118698,-0.68636328,0.295497358
5.547539545,0.315852583,1.42372942,13.91545963,0.241742805,-0.832355738,0.340852767
5.567649285,0.736989379,1.264008522,14.48435402,0.534338653,-0.437748402,0.279615343
5.587759024,-0.2955136,1.877169371,11.74816132,0.863738,-0.031382278,0.263122469
5.607868764,-0.748953462,2.413759947,8.294121742,0.885423124,0.01718008,0.345281422
5.627978503,-0.208773777,2.583052158,6.033502102,0.718203664,-0.106211066,0.345892251
5.648088243,0.232103795,2.480758905,4.6935215,0.471726805,-0.240597457,0.233954504
5.668197983,0.477966309,1.992623091,4.442873478,0.169204697,-0.240139335,0.110868774
5.688307722,0.343968242,1.724028707,5.274379253,0.01099525,-0.070934638,0.036956258
5.708417462,-0.082552381,1.814357758,5.608178139,0.12048962,0.140571222,0.04871507
5.728527201,-0.256630242,2.152942181,4.846064091,0.309088707,0.181956127,0.112548605
5.748636941,0.117846519,2.544168711,3.75673151,0.356887519,-0.015347538,0.132095724
5.768746681,0.681954444,3.031108141,3.333800077,0.162943512,-0.239833906,0.024739314
5.78885642,0.901495934,3.321237803,4.348356724,-0.076050483,-0.235405266,-0.145687074
5.80896616,0.493519664,3.610769272,5.384449005,-0.181879774,-0.133699194,-0.280989736
5.829075899,-0.032303106,4.094717979,5.873781204,-0.275797546,-0.086816669,-0.316266179
5.849185639,-0.208773777,4.502095699,6.29491806,-0.48241663,-0.114457503,-0.288472623
5.869295378,0.016151553,4.695914268,7.669594765,-0.791658044,-0.110181578,-0.225555345
5.88940517,0.491725057,5.196014404,10.03131104,-0.943300903,0.090176329,-0.156529605
5.90951491,0.821934581,5.980860233,11.52263737,-0.801278889,0.355284035,-0.187835529
5.929624649,0.432502687,6.600601196,11.29292679,-0.563048482,0.291450501,-0.277782798
5.949734389,-0.359521598,6.809374809,10.84487057,-0.5392254,-0.184246808,-0.307256162
5.969844128,-0.38823548,6.43848753,12.20100307,-0.571142197,-0.455768406,-0.184170455
5.989953868,0.366700083,5.76072073,13.42493153,-0.474017471,-0.3342098,-0.0193944
6.010063608,1.66600275,4.745565414,13.90588856,-0.325887024,0.016874656,0.075286925
6.030173347,1.624128342,4.582255363,13.75573921,-0.150421143,0.393156558,-0.016187452
6.050283087,0.288335115,4.713262558,12.86680603,-0.057114217,0.490128577,-0.08597675
6.070392826,1.053440213,2.304886341,13.20239925,-0.080937259,0.255715936,-0.127972499
6.090502566,0.928415179,1.067198873,14.25763416,0.115450129,0.213262051,-0.184781298
6.110612306,-0.035294134,1.805384636,13.58345604,0.415681571,0.114762932,-0.103691325
6.130722045,1.120439172,1.298106313,12.23809147,0.474322885,-0.303362012,-0.06902574
6.150831785,2.81695056,0.665204704,11.92403316,0.23105298,-0.434846878,-0.227235183
6.170941524,2.755335331,1.043270707,12.46899891,0.109036237,-0.00633754,-0.485623568
6.191051264,1.077368379,2.157129526,11.31505966,0.29748261,0.308859646,-0.655286372
6.211161003,0.003589234,2.66799736,9.091529846,0.419499368,0.167143077,-0.6762079
6.231270743,0.174077854,2.271386862,7.6426754,0.429578334,-0.124994621,-0.658035219
6.251380483,0.24047868,2.063211441,6.824928284,0.439351887,-0.192798659,-0.654064715
6.271490222,0.08015956,2.073979139,5.889933109,0.533727765,-0.076584972,-0.637419105
6.291599962,-0.178265289,2.044068813,4.29691124,0.6381827,0.063604474,-0.61939913
6.311709701,-0.428913444,2.021935225,2.586641312,0.579235911,0.125910893,-0.579235911
6.331819441,-0.592821837,2.177468538,1.608574986,0.35322243,0.110792421,-0.53815645
6.351929181,-0.988833964,2.658426046,1.767697692,0.073912516,0.03840702,-0.509293914
6.372038972,-1.408176184,3.192025423,2.979662418,-0.111479625,-0.101782426,-0.46103698
6.392148712,-1.574477315,3.581457376,4.385445595,-0.229984,-0.299544215,-0.359330893
6.412258451,-1.397408366,4.216153622,6.216553211,-0.308172435,-0.425684184,-0.221432135
6.432368191,-0.990030348,5.217549801,7.889136314,-0.335965991,-0.329933882,-0.131637588
6.452477931,-0.585045159,5.974878311,9.11725235,-0.33810395,-0.166837663,-0.142327413
6.47258767,-0.113659076,5.799005508,9.964909554,-0.379183441,-0.178749174,-0.216239929
6.49269741,0.011365907,5.43649292,11.25045395,-0.451416135,-0.174625963,-0.259610087
6.512807149,-0.467796832,5.608178139,12.30568886,-0.4381302,0.053220067,-0.231205687
6.532916889,-1.386640668,5.786443233,12.8374939,-0.374907494,0.200739682,-0.11163234
6.553026628,-1.444666624,5.423332691,13.33340645,-0.248614833,0.06849125,0.171953499
6.573136368,0.484546572,4.791627407,13.79522038,-0.031611346,-0.133241057,0.406060726
6.593246108,2.131406784,4.275974274,13.93520069,0.26571855,-0.011987877,0.332606345
6.613355847,1.1820544,4.534996986,12.62692547,0.627340138,0.45973891,0.080631837
6.633465587,-1.965105653,5.878567219,9.317052841,0.701099932,0.816168308,-0.05207473
6.653575326,-3.830909014,5.958726406,7.734799385,0.22845687,0.289465249,0.066582352
6.673685066,-3.016751051,4.490729809,10.33280659,-0.247851282,-0.758137822,0.285418391
6.693794806,0.00418744,2.551347256,14.22832203,-0.433854252,-1.712357521,0.296719044
6.713904545,2.660818815,0.701695263,17.60280037,-0.287861764,-1.615538239,-0.011147963
6.734014285,1.133001566,0.133998066,16.11745453,0.266940266,-0.333751679,-0.377656311
6.754124024,-2.201995134,0.72323066,11.07876873,0.499673069,0.64207685,-0.307561606
6.774233764,-3.629313707,1.356730461,7.383652687,0.36360684,0.825941861,0.136677072
6.794343503,-3.0448668,2.02612257,5.668596745,0.25945738,0.522350788,0.548998952
6.814453243,-1.202991605,2.114058733,4.251447678,0.256708562,0.093688697,0.729962468
6.834562983,0.598205686,1.335195065,3.353540897,-0.119267926,-0.860760152,0.678040445
6.854672722,2.376072884,0.910468996,6.699305058,-0.633448601,-1.417623758,0.56213218
6.874782462,3.065205812,1.24666059,10.58046341,-0.420262903,-0.645589173,0.279615343
6.894892253,1.567897081,1.698904037,10.19222832,0.229220435,0.597637713,-0.017561859
6.915001993,-0.177068874,1.758724689,6.86022234,0.602448106,1.148621917,-0.001068983
6.935111733,-0.59940207,2.090130568,4.479363918,0.559230685,0.754167318,0.189209938
6.955221472,-0.294317186,3.032902718,4.135993958,0.312753797,0.022677705,0.332453609
6.975331212,0.800997376,3.788436413,5.24566555,0.085213192,-0.382924885,0.304049224
