"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433927.259,"2025-08-17 18:02:07.259 UTC+05:30"
"PAUSE",2.042883676E1,1755433947.688,"2025-08-17 18:02:27.688 UTC+05:30"
