"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.634166671E-3,-4.745132446E-2,5.517526245E0,6.693031769E0
2.172670834E-2,2.781216431E-1,5.764063568E0,5.866899719E0
4.181870833E-2,2.221380615E-1,5.846092987E0,8.228388977E0
6.191070833E-2,5.587879944E-1,5.272785187E0,9.322164459E0
8.200270833E-2,1.806742859E-1,4.860243073E0,8.743318176E0
1.020947083E-1,-5.667214966E-1,4.901557159E0,7.950117645E0
1.221867083E-1,-7.818241882E-1,4.889432373E0,7.846982117E0
1.422787083E-1,-7.521858215E-1,5.059179382E0,8.259224854E0
1.623707083E-1,-6.863227844E-1,5.107828217E0,8.424780579E0
1.824627083E-1,-7.454498291E-1,5.094356232E0,8.539591827E0
2.025547083E-1,-7.619155884E-1,4.778513031E0,8.285869446E0
2.226467083E-1,-1.174158325E0,4.434977417E0,7.870632935E0
2.427387083E-1,-1.144669647E0,4.651277618E0,8.037984924E0
2.628307083E-1,-1.060544586E0,5.117258606E0,8.204438782E0
2.829227083E-1,-1.075064392E0,5.331762543E0,7.968379669E0
3.030147083E-1,-1.321302338E0,5.413342896E0,7.637866974E0
3.231067083E-1,-1.545536041E0,5.497168579E0,7.829618225E0
3.431987083E-1,-1.529219971E0,5.578599243E0,9.576784973E0
3.632907083E-1,-1.352736969E0,5.368735657E0,1.060529617E1
3.833827083E-1,-1.491648102E0,5.605992279E0,1.029633865E1
4.034747083E-1,-1.700613556E0,6.599326630E0,9.993967438E0
4.235667083E-1,-1.386566620E0,6.999743958E0,1.046384033E1
4.436587083E-1,-1.652862854E0,6.651867371E0,1.139041351E1
4.637507083E-1,-1.960323486E0,6.017636261E0,1.170086792E1
4.838427083E-1,-1.833836517E0,5.310506744E0,1.187360870E1
5.039347083E-1,-2.128124542E0,5.347030792E0,1.066846481E1
5.240267083E-1,-2.978805542E0,6.246809692E0,9.854457550E0
5.441187083E-1,-4.071533203E0,6.829547882E0,1.054302567E1
5.642107083E-1,-3.381917267E0,5.965694275E0,1.296723450E1
