"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433837.391,"2025-08-17 18:00:37.391 UTC+05:30"
"PAUSE",2.642294082E1,1755433863.814,"2025-08-17 18:01:03.814 UTC+05:30"
