"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434727.682,"2025-08-17 18:15:27.682 UTC+05:30"
"PAUSE",2.050897275E1,1755434748.191,"2025-08-17 18:15:48.191 UTC+05:30"
