"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433954.899,"2025-08-17 18:02:34.899 UTC+05:30"
"PAUSE",2.193197869E1,1755433976.831,"2025-08-17 18:02:56.831 UTC+05:30"
