"event","experiment time","system time","system time text"
"START",0.000000000E0,1755433789.088,"2025-08-17 17:59:49.088 UTC+05:30"
"PAUSE",3.491532468E1,1755433824.003,"2025-08-17 18:00:24.003 UTC+05:30"
