"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.383829800E-2,-2.650051117E-1,3.975674868E0,9.001200676E0
3.394850700E-2,6.999006122E-2,3.766302824E0,8.047062874E0
5.405871500E-2,1.710868180E-1,4.057030678E0,8.685347557E0
7.416892300E-2,2.685943544E-1,4.010969162E0,9.157930374E0
9.427913200E-2,9.690931439E-2,3.859024763E0,9.345767021E0
1.143893400E-1,2.033899166E-2,3.841676712E0,9.404391289E0
1.344994960E-1,1.028913707E-1,3.876372576E0,9.074779510E0
1.546097040E-1,1.579262912E-1,3.949951887E0,8.626724243E0
1.747199130E-1,1.465603858E-1,4.027718544E0,8.409575462E0
1.948301210E-1,8.494520187E-2,4.056432724E0,8.553742409E0
2.149403290E-1,8.913264424E-2,4.025924206E0,8.828319550E0
2.350505380E-1,1.357926875E-1,3.946960926E0,9.147162437E0
2.551607460E-1,1.166501045E-1,3.909872293E0,9.406784058E0
2.752709540E-1,1.459621787E-1,3.890131474E0,9.278767586E0
2.953811630E-1,1.124626622E-1,3.891327858E0,8.991030693E0
3.154913710E-1,1.304088384E-1,3.910470486E0,9.023932457E0
3.356015270E-1,2.344966233E-1,3.933800459E0,9.080761909E0
3.557117360E-1,2.697907388E-1,3.966701746E0,8.976674080E0
3.758219440E-1,1.549352705E-1,4.049852371E0,8.951549530E0
3.959321520E-1,1.734796464E-1,4.022933006E0,8.938388824E0
4.160423610E-1,3.212364316E-1,3.929612875E0,9.065806389E0
4.361525690E-1,3.762713671E-1,3.939184189E0,9.562915802E0
4.562627770E-1,4.498506486E-1,3.935595036E0,9.719047546E0
4.763729860E-1,3.792623878E-1,3.993621111E0,9.245268822E0
4.964831940E-1,3.427718580E-1,4.034897327E0,8.781659126E0
5.165934020E-1,5.252245665E-1,4.113262177E0,8.773283958E0
5.367036110E-1,7.866404653E-1,4.031906128E0,8.979066849E0
5.568138190E-1,8.757730722E-1,3.914657831E0,9.142974854E0
5.769240270E-1,7.806583643E-1,3.835694790E0,9.106484413E0
5.970342360E-1,6.753742099E-1,3.854837179E0,8.890532494E0
6.171444440E-1,6.741777658E-1,3.858426571E0,8.555537224E0
6.372546520E-1,6.305087805E-1,3.870988846E0,8.195417404E0
6.573648090E-1,5.042873621E-1,3.843471289E0,7.958528042E0
6.774750170E-1,4.319044948E-1,3.788436413E0,8.029116631E0
6.975852250E-1,3.505485058E-1,3.678964853E0,8.586644173E0
7.176954340E-1,2.123630047E-1,3.499503136E0,9.287740707E0
7.378056420E-1,1.609173268E-1,3.362514019E0,9.747760773E0
7.579158500E-1,2.763710022E-1,3.317050457E0,1.012044334E1
7.780260590E-1,4.193421602E-1,3.291925669E0,1.034297562E1
7.981362670E-1,4.624129832E-1,3.309871912E0,1.044766140E1
8.182464750E-1,3.326023519E-1,3.206980467E0,1.013420200E1
8.383566840E-1,1.387837082E-1,3.105285645E0,9.047262192E0
8.584668920E-1,1.920240223E-1,3.290729284E0,8.331210136E0
8.785771000E-1,5.012963414E-1,3.542573929E0,8.583653450E0
8.986873090E-1,5.491527915E-1,3.740580082E0,9.086744308E0
9.187975170E-1,3.188436031E-1,3.723830223E0,9.055039406E0
9.389077250E-1,6.939185411E-2,3.597010612E0,8.958727837E0
9.590179340E-1,-8.853443712E-2,3.330210924E0,9.504291534E0
9.791281420E-1,-2.195414752E-1,3.163311481E0,1.033819008E1
9.992384020E-1,-3.631108403E-1,3.209373474E0,1.064686394E1
1.019348559E0,-4.067798555E-1,3.283550978E0,1.026281643E1
1.039458819E0,-1.220339537E-1,3.369692564E0,9.774680138E0
1.059569027E0,2.763710022E-1,3.424129248E0,9.586245537E0
1.079679236E0,5.970092416E-1,3.477369547E0,9.811170578E0
1.099789444E0,7.214360237E-1,3.442075491E0,1.004566765E1
1.119899652E0,9.242277741E-1,3.351746321E0,9.911071777E0
1.140009861E0,1.051047325E0,3.444468260E0,9.507881165E0
1.160120069E0,9.517452121E-1,3.467798233E0,8.853444099E0
1.180230277E0,9.128618240E-1,3.501895905E0,8.473583221E0
1.200340486E0,8.273184299E-1,3.592823267E0,8.408976555E0
1.220450694E0,6.837490797E-1,3.613162279E0,8.631509781E0
1.240560902E0,7.453642488E-1,3.543172121E0,9.138189316E0
1.260671111E0,6.939185858E-1,3.455235958E0,9.604191780E0
1.280781319E0,4.342973232E-1,3.388834953E0,9.609575272E0
1.300891527E0,2.991028428E-1,3.458825111E0,9.305088997E0
1.321001736E0,3.457628787E-1,3.574278831E0,9.088538170E0
1.341111944E0,5.605186820E-1,3.597010612E0,9.031110764E0
1.361222204E0,6.753742099E-1,3.605983734E0,8.919246674E0
1.381332413E0,5.234299302E-1,3.594019651E0,8.932407379E0
1.401442621E0,2.931207716E-1,3.565305710E0,9.077771187E0
1.421552829E0,2.572284341E-1,3.555734396E0,9.373284340E0
1.441663038E0,3.272185028E-1,3.501895905E0,9.648459435E0
1.461773246E0,2.727817893E-1,3.415156126E0,9.647860527E0
1.481883454E0,2.267199457E-1,3.386442184E0,9.549157143E0
1.501993663E0,2.021935135E-1,3.326621771E0,9.652048111E0
1.522103871E0,3.110669367E-2,3.171686411E0,9.892526627E0
1.542214132E0,-1.555334684E-2,3.188436270E0,9.953543663E0
1.562324340E0,1.028913707E-1,3.324826956E0,9.648459435E0
1.582434548E0,2.255235314E-1,3.389433384E0,9.264410973E0
1.602544757E0,2.309073806E-1,3.400799274E0,9.071190834E0
1.622654965E0,1.603191197E-1,3.327219963E0,9.144171715E0
1.642765173E0,1.082752272E-1,3.281756163E0,9.348159790E0
1.662875382E0,6.041877344E-2,3.279363394E0,9.591031075E0
1.682985642E0,8.673982322E-2,3.198007345E0,9.768698692E0
1.703095850E0,5.742774159E-2,3.181855917E0,9.623334885E0
1.723206059E0,3.888336942E-2,3.230310678E0,9.443274498E0
1.743316267E0,1.531406492E-1,3.271586657E0,9.333204269E0
1.763426475E0,2.494517565E-1,3.292523861E0,9.313464165E0
1.783536684E0,2.823530734E-1,3.266801119E0,9.372088432E0
1.803646944E0,2.189432681E-1,3.243471146E0,9.454042435E0
1.823757152E0,5.682953820E-2,3.157329559E0,9.518648148E0
1.843867361E0,-2.572284266E-2,3.123231649E0,9.557532310E0
1.863977569E0,-2.392822644E-3,3.118446112E0,9.491728783E0
1.884087777E0,-7.238288224E-2,3.224328518E0,9.245866776E0
