"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434860.725,"2025-08-17 18:17:40.725 UTC+05:30"
"PAUSE",1.636362302E1,1755434877.088,"2025-08-17 18:17:57.088 UTC+05:30"
