"event","experiment time","system time","system time text"
"START",0.000000000E0,1755434684.195,"2025-08-17 18:14:44.195 UTC+05:30"
"PAUSE",1.871193656E1,1755434702.907,"2025-08-17 18:15:02.907 UTC+05:30"
