"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.310754000E-3,-4.989516258E0,4.170699596E0,6.672640324E0
2.833355900E-2,-3.397372246E0,4.230554581E0,6.708553314E0
4.832036300E-2,-2.444479942E0,4.244919777E0,8.477868080E0
6.830808900E-2,-2.233790159E0,3.888183594E0,9.722852707E0
8.832974000E-2,-2.885013103E0,3.454833031E0,9.109937668E0
1.083192350E-1,-3.584120035E0,3.622427225E0,7.663839817E0
1.283063470E-1,-3.746925592E0,3.971980572E0,7.175422668E0
1.483276900E-1,-3.069366693E0,4.084507942E0,7.422025204E0
1.683172620E-1,-2.492363930E0,4.110844135E0,8.049305916E0
1.883345280E-1,-2.542642117E0,4.053383350E0,8.540117264E0
2.083234850E-1,-2.997540474E0,3.981557369E0,8.415618896E0
2.283123670E-1,-3.227383852E0,3.907337189E0,8.233659744E0
2.483317850E-1,-3.179499865E0,3.969586372E0,8.106766701E0
2.683228970E-1,-3.131615877E0,4.029441357E0,8.097189903E0
2.883119310E-1,-2.829946518E0,3.991134167E0,8.037335396E0
3.083295050E-1,-2.691082716E0,4.110844135E0,8.166622162E0
3.283193860E-1,-2.480392933E0,4.125209332E0,8.458714485E0
3.483101890E-1,-2.552218914E0,3.629609823E0,8.595184326E0
3.683289170E-1,-3.193865061E0,3.574543238E0,8.420407295E0
3.883172580E-1,-3.557783842E0,3.361459255E0,8.298302650E0
4.083373700E-1,-3.059789658E0,3.205836058E0,8.322244644E0
4.283281750E-1,-2.437297344E0,2.992752075E0,8.236053467E0
4.483152860E-1,-2.269703150E0,2.719813108E0,8.623914719E0
4.683347050E-1,-2.432508945E0,2.226607561E0,9.816226959E0
4.883227390E-1,-2.552218914E0,1.692700624E0,9.176975250E0
5.083146970E-1,-1.158793569E0,2.171540976E0,9.658209801E0
5.283320390E-1,-3.471592367E-1,1.702277422E0,9.093177795E0
5.483206130E-1,-9.097966552E-2,1.369483352E0,1.054406452E1
5.683108000E-1,1.221042871E-1,6.081272364E-1,1.015859795E1
5.883299890E-1,-5.746084079E-2,7.422025502E-2,1.107557678E1
6.083195630E-1,-1.807622313E0,2.657563984E-1,1.360624790E1
6.283072890E-1,-3.277662039E0,9.457096457E-1,1.609861183E1
6.483266320E-1,-1.268926859E-1,-1.015141487E0,1.417367363E1
6.683168200E-1,-7.661445439E-2,-2.896983922E-1,1.015859795E1
6.883350860E-1,1.580173135E0,-1.096544385E0,8.446743965E0
7.083242750E-1,2.547430515E0,-1.309628367E0,8.968679428E0
7.283129240E-1,1.058237195E0,-9.145850539E-1,9.143456459E0
7.483354980E-1,-4.955997467E-1,-1.484405100E-1,9.684545517E0
7.683231470E-1,-1.604115129E0,3.663128614E-1,9.926360130E0
7.883121820E-1,-1.041477680E0,-2.873042040E-2,9.512163162E0
8.083318310E-1,-8.379705995E-2,-2.226607651E-1,9.670180321E0
8.283207900E-1,3.160346150E-1,-6.177040339E-1,8.975862503E0
8.483098250E-1,1.233013868E0,-1.343147159E0,8.966285706E0
8.683294740E-1,1.247379065E0,-2.422932148E0,8.920795441E0
8.883191240E-1,-2.059013397E-1,-1.802833915E0,8.839392662E0
9.083058510E-1,-2.398990154E0,5.267243832E-2,7.496245384E0
9.283268860E-1,-2.681505919E0,7.733271718E-1,8.712499619E0
9.483126890E-1,-1.836352706E0,1.237802267E0,1.046505547E1
9.683352630E-1,-1.082179189E0,2.188300371E0,1.012986755E1
9.883248360E-1,5.841852427E-1,1.790862918E0,9.780313492E0
1.008314332E0,1.244984865E-1,2.257732153E0,7.354987621E0
1.028330059E0,-2.398990154E0,3.438073635E0,7.493851185E0
1.048319939E0,-2.317587137E0,2.336740971E0,8.841787338E0
1.068310821E0,-1.893813491E0,1.362300754E0,8.815450668E0
1.088328008E0,-2.104503393E0,2.166752577E0,8.295908928E0
1.108319813E0,-4.285621047E-1,2.327163935E0,9.818621635E0
1.128307771E0,8.571242094E-1,1.982398987E0,1.083855152E1
1.148330343E0,6.871358752E-1,1.939303398E0,1.100853920E1
1.168318378E0,-7.469909191E-1,1.532289028E0,9.624691010E0
1.188335874E0,-2.865859509E0,1.513135433E0,7.687781811E0
1.208324909E0,-2.868253708E0,2.545036316E0,8.295908928E0
1.228315943E0,-1.721431017E0,2.925714493E0,1.128387260E1
1.248334440E0,-4.094084799E-1,2.477998734E0,1.343626022E1
1.268322552E0,-7.900865376E-2,1.630451322E0,1.383609200E1
1.288312970E0,-1.249773264E0,1.338358760E0,1.355357552E1
1.308332467E0,-1.960851192E0,8.810662031E-1,1.256477070E1
1.328321962E0,-2.370259762E0,8.786720037E-1,1.039562416E1
1.348309997E0,-2.269703150E0,1.362300754E0,8.781931877E0
1.368330647E0,-1.467645645E0,1.742978811E0,8.188169479E0
1.388319990E0,-4.237737060E-1,1.843535304E0,8.602366447E0
1.408309486E0,4.046200812E-1,1.649604917E0,8.813055992E0
1.428326751E0,8.499416113E-1,1.405396342E0,8.578424454E0
1.448316709E0,9.959878922E-1,1.414973259E0,7.623138428E0
1.468336974E0,-2.729389966E-1,1.546654344E0,7.445967197E0
1.488323855E0,-1.723825216E0,1.714248419E0,7.503427982E0
1.508314658E0,-1.843535304E0,1.549048543E0,6.742072105E0
1.528334617E0,-1.242590666E0,1.843535304E0,5.798756599E0
1.548322113E0,-4.405331016E-1,2.420537949E0,6.246472359E0
1.568311378E0,2.418143749E-1,2.753331900E0,7.647080421E0
1.588331028E0,-3.112462163E-1,2.983175278E0,8.523358345E0
1.608321293E0,-1.015141487E0,2.978386879E0,8.652645111E0
1.628307098E0,-3.160346150E-1,2.736572504E0,8.429984093E0
1.648326901E0,1.094150186E0,2.753331900E0,8.769960403E0
1.668319474E0,1.532289028E0,2.863465309E0,9.100360870E0
1.688338894E0,9.121908545E-1,2.576161146E0,9.004592896E0
1.708328467E0,3.543418646E-1,1.970427990E0,8.070854187E0
1.728318117E0,5.722141862E-1,1.721431017E0,8.599972725E0
1.748335305E0,6.775590777E-1,1.680729628E0,1.044111347E1
1.768325186E0,-2.298433632E-1,2.329558372E0,1.180820274E1
1.788314528E0,-1.580173075E-1,2.444479942E0,1.217690945E1
1.808332332E0,1.063025594E0,1.927332401E0,1.199495029E1
1.828320059E0,1.403002143E0,1.824381709E0,1.276588345E1
1.848311863E0,1.010353088E0,1.857900500E0,1.362540150E1
1.868332205E0,1.359906554E0,1.276109457E0,1.384806252E1
1.888321163E0,1.206677675E0,6.464344859E-1,1.296939087E1
1.908339967E0,2.667140722E0,3.639186621E0,9.545681953E0
1.928328539E0,2.657563984E-1,4.165911078E-1,1.018732834E1
1.948318113E0,2.896983922E-1,1.182735682E0,9.876082420E0
1.968337840E0,5.027823448E-1,1.980004787E0,9.880870819E0
1.988328105E0,9.361328483E-1,2.214636564E0,9.844957352E0
2.008315140E0,1.443703651E0,2.061407566E0,9.837775230E0
2.028335251E0,1.383848548E0,1.843535304E0,9.471462250E0
2.048324825E0,6.320692301E-1,1.668758631E0,8.295908928E0
2.068313166E0,-1.723825186E-1,1.771709204E0,7.402871609E0
2.088333432E0,-7.182605267E-1,1.968033791E0,7.577648163E0
2.108319929E0,-5.626373887E-1,2.049436569E0,7.661445618E0
2.128311963E0,0.000000000E0,2.284068346E0,7.510610580E0
2.148330229E0,4.572925270E-1,2.736572504E0,7.694964409E0
2.168318570E0,6.631938815E-1,3.076549292E0,8.264783859E0
2.188340375E0,6.392518282E-1,3.246537447E0,8.678980827E0
2.208328409E0,5.937620401E-1,3.402160645E0,8.523358345E0
2.228317444E0,7.302315235E-1,3.543418407E0,8.226476669E0
2.248337402E0,6.775590777E-1,3.708618402E0,8.173804283E0
2.268326359E0,3.399766386E-1,3.780444384E0,8.729259491E0
2.288313471E0,1.939303428E-1,3.718195200E0,9.497797966E0
2.308334120E0,2.154781483E-2,3.557783842E0,9.500192642E0
2.328325232E0,-3.519476354E-1,3.430891037E0,9.418789864E0
2.348311805E0,-7.805097699E-1,3.241749048E0,9.739612579E0
2.368332148E0,-9.935936928E-1,2.707842112E0,1.042435455E1
2.388320490E0,-1.130063176E0,2.501940727E0,1.084573364E1
2.408340140E0,-1.529894829E0,2.978386879E0,1.013944435E1
2.428328252E0,-1.525106430E0,3.402160645E0,8.971074104E0
2.448319593E0,-9.528923035E-1,3.615244627E0,8.916007042E0
2.468339398E0,2.394201700E-3,3.153163671E0,1.078348446E1
2.488325893E0,4.860229492E-1,2.458845139E0,1.238041687E1
2.508317621E0,-1.364694983E-1,2.037465572E0,1.227028370E1
2.528334502E0,-1.197100878E0,1.848323703E0,1.111867237E1
2.548322613E0,-1.867477298E0,1.869871497E0,9.433155060E0
2.568313109E0,-2.001552582E0,2.200271368E0,8.432378769E0
2.588332836E0,-1.754949808E0,2.755726099E0,8.518569946E0
2.608322102E0,-1.326387763E0,3.078943491E0,9.033323288E0
2.628310982E0,-9.026140571E-1,3.033453465E0,9.481039047E0
2.648332555E0,-3.256114423E-1,2.738966703E0,9.830592155E0
2.668321513E0,1.436521020E-2,2.561795712E0,9.854534149E0
2.688339086E0,-7.422025502E-2,2.477998734E0,9.495404243E0
2.708328352E0,-5.219359994E-1,2.389413357E0,8.528146744E0
2.728318309E0,-9.074024558E-1,2.542642117E0,7.644686222E0
2.748336805E0,-8.403648138E-1,2.777273893E0,7.010222435E0
2.768328532E0,-5.458779931E-1,3.023876667E0,6.919242859E0
2.788314951E0,-2.849099934E-1,3.339911461E0,7.127538681E0
2.808336833E0,1.412578970E-1,3.500322819E0,7.548917770E0
2.828325790E0,1.077390760E-1,3.581725836E0,7.515398979E0
2.848315440E0,-1.604115069E-1,3.529053211E0,7.560888767E0
2.868332090E0,-5.171475410E-1,3.622427225E0,7.805097580E0
2.888321663E0,-1.364694983E-1,3.653551817E0,8.046912193E0
2.908342005E0,1.122880578E0,4.376600742E0,9.682151794E0
2.928330963E0,1.175553083E0,3.318363667E0,9.186552048E0
2.948319229E0,2.633621991E-1,3.378218651E0,1.008437729E1
2.968342032E0,-3.543418646E-1,3.414131641E0,1.095826149E1
2.988327606E0,4.141969085E-1,2.844311714E0,1.076193619E1
3.008318486E0,-6.847416759E-1,3.581725836E0,1.026873112E1
3.028338521E0,-5.147533417E-1,3.684676409E0,9.864110947E0
3.048326478E0,-5.027823448E-1,4.311957359E0,9.718064308E0
3.068314205E0,1.151610970E0,4.331110954E0,9.811438560E0
3.088334317E0,2.293645144E0,3.981557369E0,1.109712505E1
3.108323274E0,2.298433542E0,2.770091295E0,1.317289734E1
3.128310694E0,1.060631394E0,1.833958507E0,1.366370869E1
3.148331882E0,-3.471592367E-1,1.505952835E0,1.286165142E1
3.168318456E0,-4.357447028E-1,1.283292055E0,1.122401714E1
3.188340337E0,-2.442085743E-1,1.659181833E0,9.569623947E0
3.208330832E0,-2.849099934E-1,2.499546528E0,8.197746277E0
3.228318560E0,-1.436521020E-2,3.138798475E0,7.551311970E0
3.248339824E0,2.394201756E-1,3.181894064E0,7.513004780E0
3.268327552E0,4.094084799E-1,2.942473888E0,7.443572998E0
3.288314047E0,3.758896589E-1,2.734178305E0,7.350199223E0
3.308335236E0,3.351882398E-1,2.525882721E0,7.321468830E0
3.328321732E0,3.830722719E-2,2.346317768E0,7.486668587E0
